timestamp,port2_qdepth,port3_qdepth,port4_qdepth,port5_qdepth,port2_mbps,port3_mbps,port4_mbps,port5_mbps,jitter_ms,loss_pct
89.5,0,0,1,0,0.0,0.0,0.031,0.0,13.13,0.0
90.5,0,0,1,0,0.0,0.0,0.081,0.0,13.13,0.0
91.5,1,1,1,0,0.306,0.221,0.529,0.0,12.41,0.0
92.5,0,0,0,0,0.009,0.006,0.015,0.0,13.95,0.0
93.6,0,0,1,0,0.0,0.0,643.061,0.0,15.28,0.0
94.6,0,0,1,0,0.0,0.0,18.291,0.0,14.34,0.0
95.6,0,0,1,0,0.0,0.0,0.571,0.0,14.34,0.0
96.7,0,0,1,0,0.0,0.0,0.142,0.0,13.44,0.0
97.7,0,0,1,0,0.0,0.0,0.336,0.0,12.65,0.0
98.7,0,0,0,0,0.0,0.0,0.009,0.0,12.65,0.0
99.7,1,1,1,0,0.031,0.018,0.049,0.0,14.15,0.0
100.8,0,0,1,0,0.001,0.001,0.115,0.0,15.47,0.0
101.8,0,0,1,0,0.0,0.0,0.079,0.0,15.47,0.0
102.8,0,0,1,0,0.0,0.0,0.17,0.0,14.61,0.0
103.9,0,0,1,0,0.0,0.0,0.058,0.0,13.71,0.0
104.9,0,0,1,0,0.0,0.0,964.554,0.0,13.71,0.0
105.9,0,0,1,0,0.0,0.0,670.307,0.0,12.86,0.0
106.9,1,1,1,0,0.13,0.076,19.118,0.0,14.2,0.0
108.0,0,0,1,0,0.004,0.002,0.872,0.0,14.2,0.0
109.0,0,0,1,0,0.0,0.0,0.247,0.0,15.46,0.0
110.0,0,0,1,0,0.0,0.0,0.044,0.0,14.5,0.0
111.0,0,0,1,0,0.0,0.0,0.241,0.0,14.5,0.0
112.1,0,0,1,0,0.0,0.0,0.044,0.0,13.62,0.0
113.1,0,0,1,0,0.0,0.0,0.115,0.0,12.77,0.0
114.1,1,1,1,0,0.445,0.222,0.603,0.0,12.77,0.0
115.1,0,0,0,0,0.013,0.006,0.017,0.0,14.12,0.0
116.2,0,0,1,0,0.0,0.0,0.039,0.0,15.36,0.0
117.2,0,0,1,0,0.0,0.0,0.183,0.0,15.36,0.0
118.2,0,0,1,0,0.0,0.0,0.058,0.0,14.43,0.0
119.3,0,0,1,0,0.0,0.0,0.137,0.0,13.57,0.0
120.3,0,0,1,0,0.0,0.0,0.113,0.0,13.57,0.0
121.3,0,0,1,0,0.0,0.0,964.555,0.0,12.74,0.0
122.3,1,1,1,0,0.044,0.026,27.309,0.0,12.74,0.0
123.4,0,0,1,0,0.001,0.001,0.918,0.0,14.17,0.0
124.4,0,0,1,0,0.0,0.0,0.135,0.0,15.5,0.0
125.4,0,0,1,0,0.0,0.0,0.244,0.0,15.5,0.0
126.4,0,0,1,0,0.0,0.0,0.083,0.0,14.54,0.0
127.5,0,0,1,0,0.0,0.0,0.015,0.0,13.63,0.0
128.5,0,0,1,0,0.0,0.0,0.039,0.0,13.63,0.0
129.5,1,1,1,0,0.154,0.109,0.264,0.0,14.13,0.0
130.5,0,0,1,0,0.004,0.003,0.164,0.0,14.13,0.0
131.6,0,0,1,0,0.0,0.0,0.017,0.0,15.4,0.0
132.6,0,0,1,0,0.0,0.0,643.089,0.0,14.46,0.0
133.6,0,0,1,0,0.0,0.0,18.192,0.0,14.46,0.0
134.6,0,0,1,0,0.0,0.0,1286.636,0.0,13.55,0.0
135.7,0,0,1,0,0.0,0.0,36.507,0.0,12.79,0.0
136.7,0,0,0,0,0.0,0.0,1.031,0.0,12.79,0.0
137.7,1,1,1,0,964.552,0.013,964.594,0.0,14.04,0.0
138.7,0,0,1,0,27.246,0.0,27.303,0.0,15.3,0.0
139.7,0,0,1,0,0.77,0.0,1.031,0.0,15.3,0.0
140.8,0,0,1,0,0.022,0.0,0.138,0.0,14.35,0.0
141.8,0,0,1,0,0.001,0.0,0.265,0.0,13.46,0.0
142.8,0,0,1,0,0.0,0.0,0.229,0.0,13.46,0.0
143.8,0,0,1,0,0.0,0.0,0.019,0.0,12.62,0.0
144.9,1,1,1,0,0.075,0.037,0.101,0.0,13.98,0.0
145.9,0,0,1,0,0.002,0.001,0.235,0.0,13.98,0.0
146.9,0,0,1,0,0.0,0.0,0.162,0.0,15.25,0.0
147.9,0,0,1,0,0.0,0.0,0.031,0.0,14.31,0.0
149.0,0,0,1,0,0.0,0.0,643.191,0.0,14.31,0.0
150.0,0,0,1,0,0.0,0.0,18.195,0.0,13.43,0.0
151.0,0,0,1,0,0.0,0.0,0.594,0.0,12.59,0.0
152.0,1,1,1,0,0.265,0.156,0.437,0.0,12.59,0.0
153.1,0,0,0,0,0.007,0.004,0.012,0.0,13.97,0.0
154.1,0,0,1,0,0.0,0.0,964.571,0.0,15.26,0.0
155.1,0,0,1,0,0.0,0.0,27.374,0.0,15.26,0.0
156.1,0,0,1,0,0.0,0.0,0.811,0.0,14.31,0.0
157.1,0,0,1,0,0.0,0.0,0.151,0.0,13.41,0.0
158.2,0,0,1,0,0.0,0.0,0.304,0.0,13.41,0.0
159.2,0,0,0,0,0.0,0.0,0.009,0.0,12.58,0.0
160.2,1,1,1,0,0.031,0.018,0.05,0.0,13.93,0.0
161.2,0,0,1,0,0.001,0.001,0.115,0.0,13.93,0.0
162.3,0,0,1,0,0.0,0.0,0.08,0.0,15.19,0.0
163.3,0,0,1,0,0.0,0.0,0.171,0.0,14.24,0.0
164.3,0,0,1,0,0.0,0.0,0.081,0.0,14.24,0.0
165.3,0,0,1,0,0.0,0.0,643.037,0.0,13.36,0.0
166.3,0,0,1,0,0.0,0.0,661.225,0.0,12.53,0.0
167.4,1,1,1,0,0.13,0.077,18.862,0.0,12.53,0.0
168.4,0,0,1,0,0.004,0.002,0.641,0.0,13.88,0.0
169.4,0,0,1,0,0.0,0.0,771.66,0.0,15.13,0.0
170.4,0,0,1,0,0.0,0.0,1950.955,0.0,15.13,0.0
171.5,0,0,1,0,0.0,0.0,55.351,0.0,14.19,0.0
172.5,0,0,1,0,0.0,0.0,1.601,0.0,13.31,0.0
173.5,0,0,1,0,0.0,0.0,0.192,0.0,13.31,0.0
174.5,1,0,1,0,0.223,0.0,0.45,0.0,12.5,0.0
175.6,1,1,1,0,964.558,964.552,964.565,0.0,13.84,0.0
176.6,0,0,1,0,27.246,27.246,27.297,0.0,15.12,0.0
177.6,0,0,1,0,0.77,0.77,0.953,0.0,14.19,0.0
178.6,0,0,1,0,0.022,0.022,0.103,0.0,14.19,0.0
179.7,0,0,1,0,0.001,0.001,0.185,0.0,13.3,0.0
180.7,0,0,1,0,0.0,0.0,0.161,0.0,12.47,0.0
181.7,0,0,1,0,0.0,0.0,1286.074,0.0,12.47,0.0
182.7,1,1,1,0,0.052,0.038,36.418,0.0,13.83,0.0
183.8,0,0,1,0,0.001,0.001,1.191,0.0,15.11,0.0
184.8,0,0,1,0,0.0,0.0,0.143,0.0,15.11,0.0
185.8,0,0,1,0,0.0,0.0,0.022,0.0,14.19,0.0
186.8,0,0,1,0,0.0,0.0,1286.179,0.0,13.3,0.0
187.9,0,0,1,0,0.0,0.0,36.35,0.0,13.3,0.0
188.9,0,0,1,0,0.0,0.0,1.082,0.0,12.47,0.0
189.9,1,1,1,0,0.218,0.109,0.325,0.0,12.47,0.0
190.9,0,0,1,0,0.006,0.003,0.232,0.0,13.83,0.0
192.0,0,0,1,0,0.0,0.0,0.019,0.0,15.1,0.0
193.0,0,0,1,0,0.0,0.0,0.09,0.0,15.1,0.0
194.0,0,0,1,0,0.0,0.0,0.029,0.0,14.16,0.0
195.0,0,0,1,0,0.0,0.0,0.09,0.0,13.28,0.0
196.1,0,0,1,0,0.0,0.0,0.211,0.0,13.28,0.0
197.1,0,0,0,0,0.0,0.0,0.006,0.0,12.45,0.0
198.1,1,1,1,0,964.565,0.013,964.578,0.0,13.82,0.0
199.1,0,0,1,0,27.247,0.0,27.319,0.0,13.82,0.0
200.1,0,0,1,0,0.77,0.0,0.825,0.0,15.11,0.0
201.2,0,0,1,0,0.022,0.0,1286.202,0.0,14.16,0.0
202.2,0,0,1,0,0.001,0.0,36.608,0.0,14.16,0.0
203.2,0,0,1,0,0.0,0.0,1.256,0.0,13.28,0.0
204.2,0,0,1,0,0.0,0.0,0.054,0.0,12.46,0.0
205.3,1,1,1,0,0.091,0.053,0.13,0.0,12.46,0.0
206.3,0,0,1,0,0.003,0.002,0.302,0.0,13.83,0.0
207.3,0,0,1,0,0.0,0.0,0.231,0.0,15.1,0.0
208.3,0,0,1,0,0.0,0.0,0.044,0.0,15.1,0.0
209.4,0,0,1,0,0.0,0.0,0.169,0.0,14.16,0.0
210.4,0,0,1,0,0.0,0.0,0.031,0.0,13.28,0.0
211.4,0,0,1,0,0.0,0.0,0.103,0.0,13.28,0.0
212.4,1,1,1,0,0.378,0.222,0.537,0.0,12.47,0.0
213.5,0,0,0,0,0.011,0.006,0.015,0.0,13.81,0.0
214.5,0,0,1,0,0.0,0.0,1286.096,0.0,13.81,0.0
215.5,0,0,1,0,0.0,0.0,36.511,0.0,15.09,0.0
216.5,0,0,1,0,0.0,0.0,1.085,0.0,14.15,0.0
217.5,0,0,1,0,0.0,0.0,0.158,0.0,14.15,0.0
218.6,0,0,1,0,0.0,0.0,0.336,0.0,12.44,0.0
219.6,0,0,0,0,0.0,0.0,0.009,0.0,12.44,0.0
220.6,1,1,1,0,0.037,0.026,0.063,0.0,13.79,0.0
221.6,0,0,1,0,0.001,0.001,0.148,0.0,15.06,0.0
222.7,0,0,1,0,0.0,0.0,0.08,0.0,15.06,0.0
223.7,0,0,1,0,0.0,0.0,0.238,0.0,14.13,0.0
224.7,0,0,1,0,0.0,0.0,0.083,0.0,13.26,0.0
225.7,0,0,1,0,0.0,0.0,0.015,0.0,13.26,0.0
226.8,0,0,1,0,0.0,0.0,0.039,0.0,12.43,0.0
227.8,1,1,1,0,0.152,0.076,0.23,0.0,13.79,0.0
228.8,0,0,1,0,0.004,0.002,0.162,0.0,13.79,0.0
229.9,0,0,1,0,0.0,0.0,771.646,0.0,15.06,0.0
230.9,0,0,1,0,0.0,0.0,986.403,0.0,14.12,0.0
231.9,0,0,1,0,0.0,0.0,27.882,0.0,14.12,0.0
232.9,0,0,1,0,0.0,0.0,965.393,0.0,13.24,0.0
233.9,0,0,1,0,0.0,0.0,27.432,0.0,12.42,0.0
235.0,1,0,1,0,0.222,0.0,0.997,0.0,12.42,0.0
236.0,1,1,1,0,964.558,964.552,1929.132,0.0,13.78,0.0
237.0,0,0,1,0,27.246,27.246,54.549,0.0,15.05,0.0
238.0,0,0,1,0,0.77,0.77,1.802,0.0,15.05,0.0
239.1,0,0,1,0,0.022,0.022,0.127,0.0,14.13,0.0
240.1,0,0,1,0,0.001,0.001,0.197,0.0,13.26,0.0
241.1,0,0,1,0,0.0,0.0,0.162,0.0,13.26,0.0
242.1,0,0,1,0,0.0,0.0,0.017,0.0,12.47,0.0
243.2,1,1,1,0,0.064,0.037,0.09,0.0,13.8,0.0
244.2,0,0,1,0,0.002,0.001,0.21,0.0,13.8,0.0
245.2,0,0,1,0,0.0,0.0,0.162,0.0,15.04,0.0
246.2,0,0,1,0,0.0,0.0,0.031,0.0,14.13,0.0
247.3,0,0,1,0,0.0,0.0,964.662,0.0,14.13,0.0
248.3,0,0,1,0,0.0,0.0,27.268,0.0,13.25,0.0
249.3,0,0,1,0,0.0,0.0,0.826,0.0,12.45,0.0
250.3,1,1,1,0,0.265,0.156,0.397,0.0,12.45,0.0
251.4,0,0,1,0,0.007,0.004,0.234,0.0,13.83,0.0
252.4,0,0,1,0,0.0,0.0,0.025,0.0,15.16,0.0
253.4,0,0,1,0,0.0,0.0,0.09,0.0,15.16,0.0
254.4,0,0,1,0,0.0,0.0,0.04,0.0,14.21,0.0
255.5,0,0,1,0,0.0,0.0,0.09,0.0,14.21,0.0
256.5,0,0,1,0,0.0,0.0,0.235,0.0,13.33,0.0
257.5,0,0,0,0,0.0,0.0,0.007,0.0,12.5,0.0
258.5,1,1,1,0,0.026,0.018,0.039,0.0,13.86,0.0
259.6,0,0,1,0,0.001,0.001,0.081,0.0,15.12,0.0
260.6,0,0,1,0,0.0,0.0,0.055,0.0,15.12,0.0
261.6,0,0,1,0,0.0,0.0,964.663,0.0,14.19,0.0
262.6,0,0,1,0,0.0,0.0,27.303,0.0,13.3,0.0
263.7,0,0,1,0,0.0,0.0,643.806,0.0,13.3,0.0
