Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1778272358.4307556,1,0.11,1,0.0,3,0.26,3,0.42
1778272358.5346076,1,0.11,1,0.07,2,0.45,2,0.49
1778272358.6375363,1,0.11,1,0.12,2,0.55,2,0.62
1778272358.7399306,1,0.15,1,0.11,2,0.66,1,0.67
1778272358.8493493,0,0.1,1,0.14,1,0.66,2,0.66
1778272358.966225,1,0.13,1,0.13,1,0.7,1,0.67
1778272359.0724444,1,0.12,1,0.19,2,0.75,2,0.73
1778272359.180366,0,0.12,1,0.17,2,0.72,1,0.64
1778272359.2838163,1,0.15,1,0.15,2,0.75,3,0.79
1778272359.386818,0,0.11,1,0.21,2,0.76,2,0.82
1778272359.489449,1,0.14,1,0.18,2,0.77,2,0.81
1778272359.5925882,0,0.1,1,0.23,2,0.74,2,0.77
1778272359.6960797,1,0.14,0,0.16,2,0.79,3,0.78
1778272359.8023875,1,0.16,1,0.14,2,0.79,2,0.77
1778272359.9044862,1,0.18,1,0.13,2,0.79,1,0.75
1778272360.0060456,1,0.2,1,0.13,2,0.79,2,0.73
1778272360.108117,1,0.17,1,0.12,2,0.79,2,0.75
1778272360.2119555,0,0.12,1,0.15,1,0.69,2,0.66
1778272360.3167796,1,0.18,1,0.14,4,0.82,4,0.8
1778272360.4239364,0,0.13,1,0.13,3,0.7,3,0.72
1778272360.5251753,1,0.16,1,0.19,3,0.8,3,0.92
1778272360.632168,1,0.21,0,0.14,2,0.76,2,0.84
1778272360.7339497,1,0.18,1,0.13,2,0.77,2,0.86
1778272360.8411226,1,0.22,0,0.09,2,0.77,2,0.86
1778272360.947528,1,0.19,1,0.13,2,0.77,1,0.8
1778272361.0493042,0,0.13,1,0.19,2,0.71,2,0.87
1778272361.1548016,1,0.16,0,0.13,2,0.7,2,0.84
1778272361.2586617,1,0.18,1,0.13,2,0.76,2,0.72
1778272361.3604462,1,0.19,1,0.12,2,0.77,4,0.82
1778272361.4634955,0,0.14,1,0.19,2,0.81,2,0.81
1778272361.5647879,1,0.13,1,0.17,2,0.77,1,0.74
1778272361.676262,1,0.18,1,0.15,2,0.82,2,0.8
1778272361.7779076,0,0.13,1,0.17,2,0.85,1,0.73
1778272361.8809254,1,0.16,1,0.15,2,0.87,2,0.75
1778272361.9830356,1,0.18,1,0.14,2,0.84,2,0.77
1778272362.0869677,1,0.16,1,0.13,2,0.83,2,0.74
1778272362.190949,0,0.11,1,0.19,2,0.78,2,0.76
1778272362.2934995,1,0.11,1,0.2,2,0.82,2,0.77
1778272362.3968666,1,0.11,1,0.21,2,0.81,2,0.77
1778272362.4997022,1,0.15,0,0.15,2,0.8,2,0.75
1778272362.6021743,1,0.17,1,0.14,1,0.73,2,0.8
1778272362.7046704,1,0.19,1,0.13,2,0.72,1,0.83
1778272362.808155,1,0.16,1,0.16,2,0.77,2,0.82
1778272362.9177737,1,0.18,1,0.14,2,0.76,1,0.77
1778272363.0190184,0,0.13,1,0.17,2,0.77,2,0.75
1778272363.121213,1,0.12,1,0.19,2,0.81,1,0.76
1778272363.223211,0,0.09,1,0.23,3,0.71,2,0.71
1778272363.3248007,1,0.09,1,0.23,3,0.81,3,0.8
1778272363.429556,1,0.1,1,0.2,1,0.86,2,0.73
1778272363.5339277,1,0.14,1,0.17,2,0.84,2,0.74
1778272363.6354809,1,0.2,0,0.12,2,0.86,1,0.73
1778272363.7394087,1,0.17,1,0.15,2,0.87,2,0.75
1778272363.8424149,1,0.19,1,0.14,2,0.85,2,0.73
1778272363.9442115,1,0.13,1,0.17,1,0.77,2,0.78
1778272364.0477097,1,0.13,1,0.18,2,0.74,2,0.82
