Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1778264180.8152435,0,0.0,1,0.01,1,0.03,1,0.02
1778264180.919236,1,0.0,1,0.01,2,0.12,2,0.15
1778264181.0248733,2,0.1,1,0.17,2,0.42,2,0.37
1778264181.133588,1,0.2,1,0.25,2,0.64,1,0.55
1778264181.246254,1,0.23,1,0.3,2,0.76,1,0.6
1778264181.3553402,1,0.23,1,0.34,2,0.79,3,0.71
1778264181.4713933,1,0.31,1,0.36,3,0.85,3,0.76
1778264181.5892522,1,0.42,1,0.4,6,0.92,6,0.95
1778264181.6922255,1,0.47,1,0.41,7,0.98,7,1.0
1778264181.8027856,1,0.45,1,0.45,9,1.03,9,1.08
1778264181.9133012,1,0.5,1,0.5,12,1.1,12,1.07
1778264182.027451,2,0.51,2,0.48,15,1.14,15,1.15
1778264182.1426582,2,0.57,1,0.52,17,1.16,17,1.13
1778264182.2499473,2,0.66,1,0.56,20,1.17,21,1.15
1778264182.3546836,2,0.66,2,0.62,23,1.15,23,1.17
1778264182.460639,3,0.69,3,0.6,26,1.17,27,1.18
1778264182.5683308,3,0.71,3,0.65,31,1.2,31,1.18
1778264182.6754591,2,0.73,2,0.68,37,1.2,37,1.18
1778264182.7821867,2,0.74,2,0.71,41,1.2,42,1.19
1778264182.8884215,2,0.75,2,0.69,45,1.17,47,1.19
1778264182.9945457,1,0.75,1,0.62,49,1.18,50,1.16
1778264183.0998955,2,0.76,1,0.57,54,1.19,54,1.18
1778264183.2011662,3,0.7,2,0.5,58,1.17,59,1.17
1778264183.3051856,3,0.66,2,0.52,63,1.19,63,1.19
1778264183.414255,1,0.56,2,0.46,64,1.09,64,1.08
1778264183.5168617,2,0.56,3,0.56,64,1.14,64,1.13
1778264183.6227195,1,0.56,1,0.56,64,1.16,64,1.12
1778264183.7254806,2,0.56,2,0.49,64,1.15,64,1.12
1778264183.82857,1,0.6,1,0.45,64,1.17,64,1.16
1778264183.9317954,2,0.55,1,0.45,64,1.19,64,1.18
1778264184.062746,1,0.44,1,0.37,63,1.1,62,1.04
1778264184.182065,2,0.54,2,0.46,64,1.12,64,1.14
1778264184.295793,3,0.6,2,0.57,61,1.12,61,1.13
1778264184.3976903,2,0.66,2,0.6,64,1.16,64,1.17
1778264184.5014608,1,0.6,1,0.62,64,1.18,63,1.19
1778264184.6051683,1,0.55,1,0.6,64,1.16,64,1.17
1778264184.7084122,1,0.56,1,0.59,64,1.22,64,1.22
1778264184.822643,2,0.6,1,0.57,64,1.19,64,1.19
1778264184.9275634,1,0.59,1,0.5,64,1.2,64,1.23
1778264185.0403306,1,0.53,1,0.47,64,1.18,64,1.2
1778264185.1496248,1,0.5,1,0.43,64,1.21,64,1.19
1778264185.259875,1,0.48,1,0.43,64,1.19,64,1.18
1778264185.3659978,1,0.47,1,0.46,64,1.19,64,1.19
1778264185.4722667,2,0.49,1,0.52,64,1.2,64,1.19
1778264185.5754516,2,0.51,1,0.5,64,1.21,64,1.2
1778264185.6865149,1,0.52,1,0.54,64,1.19,64,1.16
1778264185.7929077,1,0.56,1,0.54,64,1.19,64,1.2
1778264185.896457,1,0.56,1,0.48,63,1.2,63,1.21
1778264186.003036,2,0.59,2,0.53,62,1.17,62,1.21
1778264186.1080663,1,0.58,1,0.51,64,1.18,64,1.21
1778264186.2201169,1,0.56,2,0.48,64,1.2,64,1.19
1778264186.3284342,2,0.59,2,0.53,64,1.16,64,1.19
1778264186.434045,3,0.61,3,0.57,64,1.18,64,1.19
1778264186.5401661,2,0.59,1,0.59,64,1.22,64,1.2
1778264186.646775,2,0.61,2,0.61,64,1.18,64,1.16
1778264186.7552006,2,0.56,2,0.52,64,1.08,64,1.17
1778264186.8599372,1,0.56,1,0.6,64,1.26,64,1.25
1778264186.9802003,2,0.57,1,0.51,64,1.23,64,1.22
1778264187.0843487,1,0.56,1,0.49,64,1.23,64,1.22
1778264187.1944916,1,0.49,1,0.47,64,1.21,64,1.2
1778264187.301319,1,0.51,1,0.46,64,1.23,64,1.2
1778264187.409228,1,0.52,1,0.48,64,1.22,64,1.2
1778264187.51719,1,0.52,1,0.53,64,1.18,64,1.16
1778264187.620753,1,0.54,1,0.48,63,1.19,63,1.18
1778264187.7251675,1,0.54,1,0.47,64,1.2,64,1.23
1778264187.8371136,2,0.53,1,0.45,64,1.21,64,1.17
1778264187.9447198,1,0.51,1,0.48,64,1.21,64,1.21
1778264188.0553584,1,0.48,1,0.43,64,1.19,64,1.16
1778264188.1625633,1,0.47,2,0.46,64,1.19,64,1.2
