Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1778273612.4393132,1,0.01,1,0.01,1,0.02,1,0.01
1778273612.5454934,3,0.17,2,0.17,2,0.21,1,0.21
1778273612.6527066,5,0.31,4,0.32,2,0.47,2,0.41
1778273612.7591395,7,0.48,7,0.45,1,0.66,1,0.58
1778273612.866317,10,0.53,10,0.58,1,0.79,1,0.67
1778273612.9694195,13,0.61,13,0.64,2,0.89,2,0.8
1778273613.0786788,14,0.62,15,0.67,2,0.94,2,0.91
1778273613.1826417,18,0.67,18,0.7,4,1.03,4,0.97
1778273613.2846599,20,0.71,20,0.73,4,1.09,4,1.06
1778273613.3923728,24,0.75,24,0.71,5,1.09,4,1.1
1778273613.5012126,28,0.75,28,0.75,5,1.15,5,1.12
1778273613.6071088,31,0.76,31,0.76,5,1.16,5,1.18
1778273613.7271657,35,0.73,35,0.76,4,1.13,3,1.08
1778273613.829694,39,0.72,39,0.77,2,1.13,1,1.1
1778273613.9353564,43,0.73,43,0.77,2,1.16,2,1.1
1778273614.0393517,46,0.72,46,0.77,2,1.14,2,1.14
1778273614.14422,49,0.73,50,0.77,2,1.13,2,1.09
1778273614.2512584,53,0.71,53,0.77,3,1.15,2,1.09
1778273614.356417,57,0.73,56,0.77,3,1.14,3,1.13
1778273614.4610527,59,0.74,60,0.74,4,1.06,4,1.06
1778273614.583413,61,0.72,61,0.69,2,1.03,1,0.99
1778273614.6848485,64,0.74,63,0.72,1,1.06,1,1.01
1778273614.7897449,64,0.72,64,0.74,3,1.11,2,1.07
1778273614.8916047,64,0.71,64,0.76,4,1.12,4,1.09
1778273614.9949799,64,0.73,64,0.8,6,1.15,6,1.13
1778273615.0988948,64,0.75,64,0.76,8,1.14,8,1.13
1778273615.2031724,64,0.73,64,0.8,10,1.17,10,1.16
1778273615.3118258,64,0.73,64,0.75,12,1.17,12,1.16
1778273615.4137218,64,0.72,64,0.77,13,1.19,13,1.19
1778273615.5222938,64,0.76,63,0.76,15,1.19,15,1.18
1778273615.6274996,64,0.73,64,0.8,16,1.16,16,1.19
1778273615.7343702,64,0.74,64,0.79,18,1.2,17,1.16
1778273615.8355618,64,0.73,64,0.76,18,1.19,19,1.19
1778273615.9408576,64,0.71,64,0.79,21,1.19,21,1.2
1778273616.0448186,64,0.7,64,0.79,21,1.17,22,1.21
1778273616.155091,64,0.74,64,0.77,23,1.17,23,1.16
1778273616.2577293,64,0.69,64,0.78,24,0.92,24,1.02
1778273616.3772058,64,0.69,64,0.78,26,0.93,26,1.0
1778273616.4789786,64,0.72,64,0.78,26,1.0,27,1.08
1778273616.5813897,64,0.74,64,0.79,29,1.07,28,1.13
1778273616.6903245,64,0.75,64,0.77,23,1.1,23,1.11
1778273616.7949073,64,0.76,64,0.78,24,1.14,24,1.14
1778273616.9007277,64,0.73,64,0.77,25,1.16,25,1.16
1778273617.0068617,64,0.74,64,0.77,25,1.14,25,1.17
1778273617.1098533,64,0.75,64,0.81,25,1.2,27,1.19
1778273617.2204275,64,0.75,64,0.79,28,1.19,28,1.21
1778273617.3489747,64,0.69,64,0.77,30,1.13,31,1.17
1778273617.4568238,64,0.77,64,0.8,32,1.21,32,1.18
1778273617.5585303,64,0.75,64,0.76,33,1.22,32,1.2
1778273617.6627398,64,0.76,64,0.77,32,1.19,32,1.17
1778273617.7661996,64,0.8,64,0.77,33,1.2,34,1.19
1778273617.8696294,64,0.76,64,0.78,32,1.21,31,1.2
1778273617.976226,64,0.79,64,0.77,29,1.21,29,1.23
1778273618.0865338,64,0.78,64,0.73,29,1.19,29,1.18
1778273618.1912868,64,0.78,64,0.75,29,1.2,30,1.19
1778273618.2959363,64,0.78,64,0.76,29,1.17,29,1.2
1778273618.4025233,64,0.77,64,0.76,29,1.18,29,1.2
1778273618.5143013,64,0.76,64,0.75,29,1.2,29,1.18
1778273618.6218724,64,0.79,64,0.78,29,1.2,30,1.22
1778273618.7280138,64,0.78,64,0.75,30,1.16,31,1.18
1778273618.8323088,64,0.78,64,0.76,31,1.22,32,1.19
1778273618.9365985,64,0.75,64,0.76,32,1.18,33,1.2
1778273619.0404165,64,0.76,64,0.74,33,1.2,33,1.21
1778273619.153458,64,0.75,64,0.7,32,1.15,31,1.15
1778273619.2569978,64,0.79,64,0.73,32,1.24,32,1.21
1778273619.363006,64,0.78,64,0.74,33,1.2,34,1.21
1778273619.467236,64,0.78,64,0.75,36,1.2,36,1.21
1778273619.5747688,64,0.81,64,0.72,36,1.2,38,1.21
1778273619.679922,64,0.8,64,0.74,39,1.2,39,1.17
1778273619.785432,64,0.76,64,0.78,41,1.21,42,1.22
1778273619.8918812,64,0.73,64,0.78,43,1.2,43,1.21
1778273619.9997323,64,0.74,64,0.77,45,1.2,46,1.2
1778273620.1079912,64,0.77,64,0.76,47,1.19,48,1.16
1778273620.2118452,64,0.78,64,0.8,49,1.2,51,1.22
1778273620.3227804,64,0.76,64,0.78,52,1.19,52,1.2
1778273620.4263456,64,0.8,64,0.78,54,1.2,55,1.21
1778273620.5321755,64,0.79,64,0.78,56,1.14,56,1.17
1778273620.6370459,64,0.79,64,0.75,58,1.23,59,1.19
1778273620.7412603,64,0.78,64,0.76,61,1.19,62,1.2
1778273620.8447344,64,0.75,64,0.8,62,1.2,62,1.17
1778273620.947814,64,0.76,64,0.8,62,1.21,63,1.19
1778273621.053334,64,0.77,64,0.79,59,1.21,59,1.2
1778273621.1643264,64,0.79,64,0.77,58,1.19,57,1.22
1778273621.269533,64,0.78,64,0.77,58,1.2,59,1.21
1778273621.3766406,64,0.77,64,0.77,60,1.2,60,1.21
1778273621.4834836,64,0.77,64,0.77,60,1.2,61,1.2
1778273621.5905266,64,0.8,64,0.76,58,1.2,58,1.2
1778273621.6977634,64,0.79,64,0.76,58,1.19,57,1.16
1778273621.8007529,64,0.79,64,0.74,56,1.17,55,1.19
1778273621.9052894,64,0.78,64,0.72,55,1.19,54,1.2
