Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1778257014.2048306,1,0.01,1,0.0,1,0.02,1,0.02
1778257014.3110375,1,0.01,1,0.04,1,0.02,1,0.02
1778257014.4165819,3,0.2,2,0.19,4,0.35,4,0.41
1778257014.5253978,1,0.33,2,0.33,5,0.63,5,0.64
1778257014.6356678,1,0.33,1,0.32,3,0.69,3,0.76
1778257014.75373,1,0.47,1,0.41,2,0.84,2,0.86
1778257014.8622074,2,0.43,1,0.44,2,0.87,2,0.86
1778257014.977228,1,0.39,1,0.4,2,0.76,2,0.78
1778257015.0840638,4,0.47,4,0.51,6,0.83,5,0.87
1778257015.2825835,3,0.44,3,0.46,5,0.84,6,0.84
1778257015.3852408,2,0.44,2,0.5,2,0.89,5,0.93
1778257015.4867744,1,0.48,2,0.55,2,0.93,1,0.92
1778257015.5885456,1,0.41,1,0.52,2,1.03,2,0.99
1778257015.6900065,2,0.49,1,0.51,3,1.03,2,1.0
1778257015.7917464,3,0.55,3,0.56,6,1.06,5,1.08
1778257015.9421995,4,0.57,4,0.58,9,1.0,9,1.05
1778257016.0661714,3,0.54,3,0.55,10,1.01,10,1.05
1778257016.1731555,3,0.58,4,0.58,5,1.03,5,1.09
1778257016.277506,2,0.57,1,0.5,5,1.06,5,1.03
1778257016.3798697,1,0.57,2,0.56,4,1.18,5,1.13
1778257016.4817183,1,0.57,2,0.53,4,1.24,3,1.13
1778257016.5842853,1,0.64,1,0.54,4,1.24,4,1.2
1778257016.688566,2,0.62,1,0.58,4,1.23,3,1.17
1778257016.7937787,1,0.6,1,0.64,4,1.23,5,1.19
1778257016.9124548,2,0.57,2,0.62,6,1.21,5,1.15
1778257017.0213845,1,0.53,4,0.56,5,1.14,3,1.09
1778257017.1291902,3,0.5,2,0.56,5,1.15,5,1.15
1778257017.236098,2,0.61,2,0.59,3,1.2,2,1.17
1778257017.3376377,1,0.6,1,0.55,3,1.18,2,1.16
1778257017.4412546,2,0.66,1,0.45,2,1.2,2,1.15
1778257017.5429251,1,0.6,1,0.53,2,1.21,2,1.15
1778257017.6445894,2,0.59,2,0.57,3,1.16,3,1.11
1778257017.7464473,2,0.52,1,0.57,2,1.12,3,1.15
