Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1778259630.1770742,1,0.01,1,0.01,1,0.03,1,0.03
1778259630.30286,0,0.0,1,0.01,1,0.05,1,0.02
1778259630.4083295,2,0.07,2,0.07,4,0.23,0,0.01
1778259630.5281465,0,0.05,0,0.08,3,0.22,1,0.07
1778259630.6608317,3,0.06,3,0.19,6,0.31,4,0.18
1778259630.777515,1,0.13,3,0.19,13,0.79,7,0.33
1778259630.883937,6,0.39,5,0.37,16,0.84,8,0.43
1778259630.9859157,6,0.55,9,0.49,15,0.97,11,0.68
1778259631.0876367,5,0.66,9,0.52,13,1.02,16,0.78
1778259631.1944194,2,0.79,5,0.59,13,1.07,23,0.91
1778259631.2997203,3,0.82,2,0.65,13,1.08,25,0.96
1778259631.4057407,3,0.8,4,0.68,14,1.12,26,1.04
1778259631.5101488,1,0.76,2,0.78,17,1.22,26,1.19
1778259631.616869,1,0.73,2,0.77,19,1.24,26,1.23
1778259631.724152,2,0.84,2,0.84,22,1.36,26,1.34
1778259631.8353431,1,0.77,1,0.81,24,1.45,26,1.47
1778259631.9459255,2,0.79,2,0.88,28,1.58,26,1.53
1778259632.0736363,3,0.8,3,0.92,27,1.3,27,1.51
1778259632.2013123,2,0.75,2,0.78,29,1.24,27,1.3
1778259632.3033009,2,0.73,3,0.75,31,1.27,28,1.22
1778259632.4051554,1,0.69,2,0.7,34,1.27,28,1.23
1778259632.5076003,1,0.65,1,0.69,37,1.19,31,1.13
1778259632.6093593,1,0.66,1,0.65,40,1.14,33,1.1
1778259632.7198653,2,0.69,2,0.68,41,1.18,38,1.18
1778259632.8587914,2,0.63,2,0.65,43,1.15,39,1.1
1778259632.9603503,2,0.61,1,0.59,44,1.05,41,1.04
1778259633.0774176,1,0.58,1,0.59,46,1.03,42,1.06
1778259633.193207,2,0.56,2,0.6,48,1.02,44,1.19
1778259633.2944858,2,0.6,2,0.59,50,1.09,47,1.18
1778259633.3995526,2,0.62,2,0.64,52,1.1,49,1.16
1778259633.5022786,2,0.64,2,0.66,55,1.17,51,1.25
1778259633.606658,2,0.68,1,0.69,56,1.19,53,1.21
1778259633.7145016,2,0.7,2,0.74,59,1.22,56,1.27
1778259633.8200033,3,0.72,3,0.75,61,1.25,57,1.28
1778259633.9311326,3,0.73,4,0.81,57,1.28,60,1.3
1778259634.0342715,4,0.75,4,0.77,57,1.23,59,1.25
1778259634.1425428,5,0.78,5,0.77,59,1.28,57,1.26
1778259634.2506442,5,0.77,6,0.76,64,1.28,59,1.27
1778259634.3645105,5,0.78,5,0.75,64,1.23,62,1.22
