Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1777585403.758532,1,0.02,1,0.03,1,0.0,1,0.01
1777585403.8626764,1,0.05,2,0.06,2,0.11,2,0.07
1777585403.9729404,3,0.23,3,0.26,2,0.29,2,0.21
1777585404.0848672,6,0.41,5,0.4,3,0.46,3,0.4
1777585404.1864471,6,0.53,5,0.49,2,0.59,3,0.52
1777585404.2921546,7,0.6,6,0.57,3,0.68,3,0.62
1777585404.4049225,9,0.63,9,0.56,3,0.75,3,0.65
1777585404.5070136,10,0.68,10,0.63,1,0.83,1,0.76
1777585404.6112669,10,0.71,10,0.71,1,0.85,1,0.74
1777585404.7214758,12,0.72,11,0.72,1,0.85,1,0.74
1777585404.8296936,12,0.73,12,0.73,1,0.88,2,0.77
1777585404.9350135,14,0.74,14,0.74,1,0.88,1,0.74
1777585405.0418103,16,0.75,15,0.78,1,0.88,2,0.81
1777585405.154392,17,0.74,17,0.76,2,0.86,1,0.75
1777585405.256128,18,0.73,19,0.81,1,0.84,1,0.77
1777585405.3671114,21,0.76,21,0.78,1,0.75,1,0.79
1777585405.4774418,21,0.75,21,0.77,1,0.81,1,0.74
1777585405.582255,21,0.79,22,0.77,1,0.76,1,0.78
1777585405.6877494,21,0.79,21,0.77,2,0.73,2,0.75
1777585405.797432,21,0.77,22,0.76,1,0.8,1,0.71
1777585405.9026818,22,0.77,22,0.77,1,0.76,1,0.73
1777585406.0096588,23,0.77,23,0.73,1,0.86,1,0.71
1777585406.1136982,23,0.81,23,0.78,1,0.83,1,0.66
1777585406.222362,24,0.79,24,0.77,2,0.81,1,0.66
1777585406.3249643,24,0.79,25,0.78,2,0.7,1,0.66
1777585406.431001,25,0.78,24,0.74,3,0.82,2,0.69
1777585406.5412772,25,0.8,25,0.77,1,0.83,1,0.71
1777585406.6479728,25,0.79,25,0.77,2,0.81,2,0.79
1777585406.7562017,26,0.75,26,0.76,1,0.76,2,0.74
1777585406.861004,26,0.79,26,0.8,2,0.8,2,0.79
1777585406.9697213,28,0.78,27,0.78,2,0.81,1,0.74
1777585407.0748582,29,0.77,29,0.75,3,0.83,2,0.72
1777585407.18273,28,0.8,29,0.78,1,0.84,1,0.79
1777585407.3093007,29,0.78,29,0.8,2,0.86,1,0.72
1777585407.4407146,31,0.76,31,0.8,2,0.84,2,0.74
1777585407.568081,32,0.78,32,0.78,4,0.81,3,0.71
1777585407.6736882,32,0.78,31,0.77,1,0.83,1,0.73
1777585407.7990203,33,0.65,33,0.63,1,0.61,0,0.54
1777585407.9383771,35,0.68,35,0.66,1,0.58,1,0.53
1777585408.0431716,35,0.71,35,0.7,1,0.54,2,0.6
1777585408.1502938,36,0.69,35,0.75,2,0.54,2,0.71
1777585408.2837083,36,0.72,36,0.73,2,0.56,2,0.68
1777585408.3908985,36,0.76,36,0.77,1,0.65,1,0.77
1777585408.5272667,27,0.74,27,0.77,2,0.69,1,0.77
1777585408.6379893,26,0.74,26,0.79,2,0.79,1,0.82
1777585408.7627566,24,0.77,25,0.78,2,0.78,3,0.83
1777585408.8696954,25,0.74,26,0.77,2,0.77,2,0.87
1777585408.9737206,27,0.75,27,0.77,1,0.78,2,0.88
1777585409.0753663,29,0.76,29,0.78,2,0.82,1,0.85
1777585409.1790173,30,0.77,30,0.78,1,0.74,2,0.87
1777585409.2806253,31,0.78,32,0.76,2,0.79,2,0.88
1777585409.3874094,33,0.77,33,0.76,1,0.85,1,0.88
1777585409.496089,35,0.77,35,0.75,1,0.88,1,0.81
1777585409.6051934,37,0.76,36,0.78,1,0.81,1,0.76
1777585409.7073946,37,0.77,37,0.79,2,0.87,2,0.77
1777585409.8177245,41,0.76,40,0.77,3,0.89,2,0.79
