Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1778278237.19558,1,0.03,2,0.03,1,0.01,1,0.0
1778278237.2995353,2,0.19,2,0.19,2,0.24,1,0.17
1778278237.4215863,2,0.28,2,0.28,1,0.34,2,0.32
1778278237.6022875,1,0.33,2,0.35,2,0.39,3,0.4
1778278237.710531,1,0.39,1,0.38,2,0.47,1,0.47
1778278237.8198965,2,0.44,1,0.42,2,0.52,1,0.52
1778278237.9362893,1,0.4,2,0.44,2,0.48,1,0.48
1778278238.0414746,1,0.38,2,0.38,2,0.54,2,0.54
1778278238.1428216,2,0.47,2,0.44,1,0.58,1,0.51
1778278238.2452102,2,0.54,2,0.51,2,0.61,1,0.56
1778278238.347279,2,0.55,1,0.46,2,0.6,2,0.6
1778278238.4560623,1,0.51,2,0.49,2,0.64,1,0.52
1778278238.5608954,2,0.56,1,0.44,1,0.58,1,0.53
1778278238.6666148,1,0.52,1,0.48,2,0.61,1,0.57
1778278238.772102,1,0.53,1,0.5,1,0.59,1,0.63
1778278238.8793564,2,0.54,1,0.45,2,0.57,1,0.63
1778278238.986574,1,0.54,1,0.44,1,0.56,2,0.64
1778278239.0984313,2,0.51,1,0.47,2,0.61,1,0.54
1778278239.2042766,1,0.52,1,0.46,1,0.56,1,0.58
1778278239.3106985,1,0.49,1,0.49,2,0.59,1,0.6
1778278239.415056,2,0.51,2,0.48,1,0.61,1,0.62
1778278239.516682,1,0.5,1,0.44,1,0.57,1,0.57
1778278239.6208417,2,0.55,2,0.47,2,0.63,2,0.53
1778278239.7270164,1,0.52,1,0.49,1,0.64,2,0.54
1778278239.8285122,1,0.5,1,0.49,2,0.65,1,0.58
1778278239.942665,1,0.51,2,0.52,2,0.58,2,0.56
1778278240.0478463,1,0.46,2,0.53,2,0.7,1,0.49
1778278240.1525178,1,0.45,2,0.51,2,0.66,1,0.48
1778278240.2585516,1,0.48,1,0.52,1,0.66,1,0.53
1778278240.365733,1,0.5,2,0.53,1,0.66,1,0.57
1778278240.4705117,1,0.49,1,0.53,1,0.62,1,0.56
1778278240.5793774,2,0.44,2,0.53,2,0.63,1,0.59
1778278240.685247,1,0.41,2,0.54,1,0.6,1,0.54
1778278240.7880251,1,0.42,1,0.58,1,0.66,1,0.51
1778278240.8919501,1,0.47,1,0.57,1,0.7,1,0.49
1778278241.0015213,1,0.46,2,0.56,1,0.68,1,0.5
1778278241.110904,1,0.45,2,0.52,2,0.73,1,0.48
1778278241.2129443,1,0.45,2,0.5,2,0.72,1,0.44
1778278241.318255,1,0.45,1,0.52,1,0.7,1,0.47
1778278241.420269,2,0.48,2,0.54,1,0.73,1,0.5
1778278241.5259478,1,0.44,1,0.54,1,0.64,1,0.55
1778278241.6285622,2,0.45,2,0.55,1,0.62,1,0.52
1778278241.7387087,1,0.47,1,0.51,2,0.62,1,0.52
1778278241.8410394,1,0.5,1,0.53,2,0.71,2,0.5
1778278241.9471827,2,0.51,1,0.5,1,0.66,2,0.55
1778278242.051188,1,0.46,2,0.52,1,0.7,1,0.48
1778278242.1612234,1,0.48,2,0.53,1,0.68,1,0.47
1778278242.266075,1,0.5,2,0.47,1,0.64,2,0.52
1778278242.3725662,2,0.55,2,0.46,1,0.61,2,0.6
1778278242.477152,1,0.52,2,0.49,2,0.63,1,0.62
1778278242.5836313,1,0.52,2,0.45,2,0.6,1,0.56
1778278242.6875453,1,0.54,1,0.48,1,0.56,2,0.56
1778278242.7915156,2,0.54,2,0.44,1,0.62,2,0.56
1778278242.8958797,1,0.51,1,0.51,2,0.67,1,0.56
1778278243.0009089,2,0.49,1,0.46,1,0.67,1,0.59
1778278243.1095614,2,0.54,2,0.45,1,0.6,2,0.57
1778278243.2140746,2,0.51,2,0.45,1,0.58,1,0.6
1778278243.3225164,1,0.52,2,0.48,1,0.57,1,0.58
1778278243.426854,1,0.5,2,0.53,2,0.6,2,0.57
1778278243.5334415,1,0.45,2,0.54,2,0.61,1,0.6
1778278243.6406665,1,0.44,1,0.51,1,0.59,1,0.58
1778278243.7446027,3,0.45,2,0.52,2,0.58,2,0.57
1778278243.8510616,2,0.48,2,0.53,1,0.64,2,0.53
1778278243.9552093,1,0.47,1,0.54,2,0.68,1,0.54
1778278244.0636094,1,0.43,1,0.57,2,0.6,1,0.54
1778278244.1690748,2,0.4,1,0.56,2,0.65,1,0.51
1778278244.272102,2,0.45,2,0.53,2,0.59,2,0.56
1778278244.3765795,2,0.52,1,0.51,1,0.61,1,0.59
1778278244.4806056,2,0.46,1,0.52,2,0.63,2,0.61
1778278244.5875578,1,0.46,2,0.53,2,0.57,1,0.53
1778278244.6952286,1,0.42,2,0.56,2,0.56,2,0.6
1778278244.8034203,2,0.42,1,0.49,1,0.52,1,0.61
1778278244.9122,2,0.49,2,0.54,2,0.59,1,0.62
1778278245.0140858,1,0.51,1,0.52,1,0.62,1,0.64
1778278245.1154876,1,0.5,2,0.5,1,0.6,1,0.55
1778278245.2194715,2,0.48,2,0.49,1,0.59,2,0.55
1778278245.328162,2,0.47,1,0.53,2,0.61,2,0.58
1778278245.4370842,1,0.52,2,0.5,1,0.62,2,0.6
1778278245.5395665,3,0.5,2,0.49,2,0.6,1,0.62
1778278245.647167,2,0.45,3,0.47,1,0.52,2,0.6
1778278245.7520583,2,0.51,1,0.47,2,0.56,2,0.58
1778278245.8578353,1,0.53,1,0.49,2,0.59,2,0.61
1778278245.9642415,2,0.5,2,0.54,2,0.61,2,0.62
1778278246.0676863,2,0.49,1,0.51,1,0.63,1,0.6
1778278246.1782434,1,0.47,2,0.52,1,0.6,1,0.58
1778278246.2839444,1,0.46,1,0.53,2,0.58,2,0.57
1778278246.3894587,1,0.46,1,0.54,2,0.64,1,0.53
1778278246.4925222,1,0.45,1,0.55,1,0.68,1,0.54
1778278246.6007302,1,0.51,2,0.51,1,0.61,1,0.54
1778278246.7055755,2,0.53,1,0.43,1,0.66,2,0.51
1778278246.8095698,1,0.5,2,0.47,1,0.63,2,0.56
1778278246.914078,1,0.49,2,0.53,2,0.64,1,0.56
1778278247.0209556,2,0.47,1,0.53,1,0.64,2,0.55
1778278247.1264184,2,0.5,1,0.47,2,0.65,1,0.55
