Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1777486649.298535,1,0.07,1,0.06,1,0.09,2,0.13
1777486649.412487,1,0.17,1,0.26,2,0.31,1,0.3
1777486649.520099,1,0.22,2,0.31,2,0.44,2,0.37
1777486649.6283474,2,0.35,2,0.41,2,0.6,2,0.42
1777486649.7333913,1,0.41,1,0.45,2,0.68,1,0.46
1777486649.8396747,1,0.42,2,0.48,3,0.71,2,0.52
1777486649.9525952,1,0.45,1,0.46,2,0.74,2,0.55
1777486650.0574899,2,0.48,2,0.49,3,0.78,3,0.58
1777486650.1642153,2,0.53,1,0.48,2,0.75,2,0.64
1777486650.273521,3,0.53,2,0.49,3,0.74,2,0.7
1777486650.3839781,2,0.53,2,0.5,2,0.71,2,0.74
1777486650.4870923,1,0.51,1,0.49,1,0.73,1,0.65
1777486650.589664,2,0.53,2,0.48,2,0.78,1,0.73
1777486650.7004929,1,0.5,2,0.52,1,0.74,2,0.7
1777486650.8050642,2,0.51,2,0.54,2,0.68,3,0.69
1777486650.9073715,2,0.5,2,0.51,2,0.72,2,0.75
1777486651.0187392,2,0.5,2,0.52,2,0.72,2,0.68
1777486651.1235564,2,0.52,2,0.53,2,0.74,2,0.71
1777486651.2270296,1,0.5,2,0.57,2,0.75,2,0.73
1777486651.3354242,2,0.48,2,0.59,1,0.72,2,0.71
1777486651.440578,2,0.47,2,0.52,2,0.77,3,0.73
1777486651.5438056,2,0.53,2,0.5,2,0.74,2,0.64
1777486651.6509376,2,0.54,2,0.51,3,0.75,3,0.68
1777486651.7555633,2,0.51,1,0.53,2,0.75,1,0.71
1777486651.8570802,1,0.49,2,0.54,2,0.73,3,0.7
1777486651.9597528,2,0.51,2,0.55,2,0.75,2,0.73
1777486652.0660124,2,0.53,1,0.55,2,0.72,2,0.74
1777486652.1753109,2,0.53,2,0.55,2,0.73,2,0.74
1777486652.2812638,1,0.57,2,0.52,1,0.74,2,0.78
1777486652.3919194,2,0.49,2,0.52,2,0.71,2,0.77
1777486652.4940922,1,0.52,1,0.5,3,0.7,2,0.74
1777486652.5988238,1,0.49,2,0.52,2,0.72,2,0.72
1777486652.7091317,1,0.51,1,0.55,2,0.73,1,0.66
1777486652.814556,1,0.49,1,0.52,2,0.77,1,0.66
1777486652.9203937,2,0.54,1,0.5,2,0.74,2,0.73
1777486653.0344405,2,0.56,1,0.47,2,0.73,2,0.69
1777486653.1367452,1,0.53,2,0.54,3,0.78,2,0.69
1777486653.2449005,1,0.53,1,0.54,2,0.74,2,0.74
1777486653.3513286,1,0.54,2,0.51,1,0.75,2,0.75
1777486653.4581943,1,0.54,2,0.49,2,0.72,2,0.65
1777486653.5641797,1,0.58,1,0.47,2,0.77,2,0.69
1777486653.6665611,1,0.57,1,0.47,2,0.81,1,0.68
1777486653.7716506,1,0.53,2,0.53,2,0.8,1,0.68
1777486653.8786354,2,0.57,2,0.47,3,0.82,2,0.64
1777486653.986461,2,0.56,2,0.46,2,0.8,3,0.61
1777486654.0942297,2,0.52,1,0.52,3,0.79,3,0.65
1777486654.19581,1,0.54,2,0.54,2,0.79,1,0.7
1777486654.2989395,2,0.55,2,0.48,2,0.72,3,0.72
1777486654.4077537,2,0.57,2,0.5,2,0.76,2,0.73
1777486654.5101583,1,0.51,1,0.55,2,0.74,2,0.75
1777486654.6210096,2,0.51,1,0.48,2,0.7,2,0.74
1777486654.7313879,2,0.55,2,0.53,2,0.71,3,0.74
1777486654.8406937,1,0.51,2,0.5,2,0.69,2,0.74
1777486654.944759,1,0.46,2,0.55,1,0.68,1,0.72
1777486655.0502295,1,0.52,1,0.55,1,0.71,2,0.77
1777486655.158098,1,0.53,1,0.52,2,0.69,1,0.73
1777486655.2598164,2,0.54,1,0.54,3,0.72,3,0.72
1777486655.362278,1,0.52,1,0.55,1,0.74,1,0.71
1777486655.4652271,2,0.5,2,0.49,2,0.76,1,0.7
1777486655.573789,2,0.57,1,0.47,1,0.75,2,0.74
1777486655.6773171,2,0.57,3,0.46,2,0.76,1,0.69
1777486655.7846973,1,0.53,1,0.49,1,0.73,2,0.64
1777486655.8876963,2,0.58,1,0.48,1,0.71,1,0.72
1777486655.991383,2,0.54,2,0.5,1,0.77,1,0.71
1777486656.0931466,1,0.55,1,0.52,2,0.81,2,0.67
1777486656.195645,1,0.52,2,0.54,1,0.77,2,0.67
1777486656.3011267,1,0.5,2,0.51,1,0.84,1,0.63
1777486656.4094558,1,0.51,1,0.55,2,0.81,2,0.6
1777486656.51378,1,0.46,2,0.55,2,0.8,1,0.59
1777486656.6157746,2,0.49,1,0.56,1,0.83,1,0.62
1777486656.7180781,1,0.48,2,0.56,1,0.82,2,0.67
1777486656.8201797,2,0.51,1,0.57,1,0.78,2,0.71
1777486656.9227977,1,0.53,1,0.57,1,0.78,1,0.67
1777486657.025981,1,0.47,2,0.57,2,0.78,2,0.7
1777486657.133245,2,0.49,1,0.5,1,0.74,1,0.65
1777486657.2369735,1,0.58,2,0.48,2,0.72,2,0.69
1777486657.3424394,2,0.57,2,0.47,2,0.7,2,0.75
1777486657.445148,1,0.54,1,0.53,1,0.73,1,0.76
1777486657.5478303,1,0.51,1,0.55,1,0.75,1,0.7
1777486657.6532238,1,0.49,1,0.55,2,0.75,2,0.76
1777486657.7576196,1,0.48,1,0.52,2,0.66,2,0.73
1777486657.8606317,1,0.47,1,0.54,1,0.6,2,0.81
1777486657.9655273,1,0.5,1,0.54,1,0.62,1,0.84
1777486658.0706327,1,0.48,2,0.58,2,0.66,2,0.78
1777486658.1778848,2,0.5,1,0.57,2,0.72,1,0.74
1777486658.2829719,1,0.52,2,0.53,2,0.74,2,0.75
1777486658.3889866,1,0.53,1,0.54,2,0.75,1,0.72
1777486658.4952374,2,0.57,1,0.48,2,0.72,1,0.7
1777486658.6014717,2,0.56,1,0.5,1,0.73,1,0.79
1777486658.7097728,1,0.52,2,0.51,2,0.71,2,0.68
1777486658.8160498,2,0.53,2,0.52,2,0.76,1,0.74
1777486658.9223678,1,0.47,1,0.53,1,0.73,1,0.68
1777486659.0264642,2,0.47,2,0.57,1,0.71,2,0.71
1777486659.1300135,2,0.53,1,0.53,1,0.73,1,0.73
1777486659.233757,1,0.57,1,0.51,1,0.78,1,0.71
