Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1778276753.1410215,1,0.03,1,0.03,1,0.02,1,0.0
1778276753.2434278,1,0.02,1,0.02,2,0.09,1,0.04
1778276753.3551958,2,0.11,1,0.14,3,0.28,3,0.24
1778276753.4707735,2,0.29,2,0.25,6,0.5,5,0.47
1778276753.5904284,2,0.43,2,0.29,9,0.7,9,0.68
1778276753.6978774,2,0.56,1,0.4,8,1.04,8,1.03
1778276753.8149152,1,0.54,1,0.4,7,1.08,7,1.1
1778276753.9331646,1,0.56,2,0.4,5,1.11,6,1.1
1778276754.0407422,1,0.55,1,0.41,3,1.13,3,1.12
1778276754.1472385,1,0.55,1,0.35,2,1.02,3,1.15
1778276754.2508774,1,0.55,1,0.35,2,1.05,2,1.14
1778276754.3584049,1,0.45,2,0.4,2,1.06,2,1.12
1778276754.472308,1,0.41,1,0.37,2,0.96,2,1.09
1778276754.6364775,2,0.41,2,0.41,6,0.92,7,1.0
1778276754.739188,2,0.46,2,0.42,3,1.05,3,1.04
1778276754.860213,1,0.47,1,0.35,1,0.97,2,1.01
1778276754.9663627,1,0.46,1,0.38,2,0.97,2,1.0
1778276755.0712824,1,0.55,1,0.37,2,1.01,3,1.03
1778276755.1781714,1,0.58,1,0.39,3,1.07,2,1.05
1778276755.2831237,0,0.44,1,0.34,3,1.01,3,1.07
1778276755.3887098,2,0.48,2,0.4,3,1.04,4,1.08
1778276755.490819,1,0.44,2,0.52,1,1.07,2,1.09
1778276755.5988464,1,0.4,1,0.49,2,1.0,2,1.06
1778276755.7146766,2,0.4,1,0.43,2,0.97,3,1.07
1778276755.8236017,1,0.41,2,0.46,3,1.03,2,1.1
1778276755.9308436,2,0.48,1,0.49,2,1.05,2,1.13
1778276756.0447316,1,0.43,1,0.49,2,1.07,2,1.06
1778276756.1494594,1,0.47,1,0.45,2,1.05,2,1.08
1778276756.2732787,1,0.41,1,0.4,1,0.93,1,0.95
1778276756.3815002,2,0.42,2,0.44,5,0.88,5,0.89
1778276756.4828954,1,0.43,1,0.48,6,0.96,6,0.97
1778276756.5871692,2,0.47,1,0.5,3,1.14,4,1.14
1778276756.6942525,1,0.43,2,0.55,5,1.15,6,1.16
1778276756.8083854,2,0.42,2,0.53,2,1.08,3,1.18
1778276756.922889,1,0.42,1,0.47,2,1.03,2,1.13
1778276757.030058,1,0.39,1,0.52,2,1.01,2,1.11
1778276757.135706,1,0.37,1,0.53,2,0.97,2,1.08
1778276757.2888906,2,0.35,2,0.44,2,0.84,2,0.91
1778276757.399165,1,0.4,2,0.47,5,0.94,5,0.92
1778276757.500678,1,0.45,1,0.46,5,1.0,5,1.02
1778276757.602323,1,0.49,1,0.43,4,1.04,4,1.09
1778276757.704718,1,0.41,2,0.5,4,1.07,4,1.1
1778276757.8061857,2,0.43,2,0.46,3,1.13,4,1.15
1778276757.913831,1,0.46,1,0.45,2,1.01,2,1.13
