src1_port2_qdepth_max,src1_port2_mbps_mean,src1_port2_mbps_std,src1_port3_qdepth_max,src1_port3_mbps_mean,src1_port3_mbps_std,src1_port4_qdepth_max,src1_port4_mbps_mean,src1_port4_mbps_std,src1_port5_qdepth_max,src1_port5_mbps_mean,src1_port5_mbps_std,src1_port2_mbps_cv,src1_port2_load_util,src1_port3_mbps_cv,src1_port3_load_util,src1_port4_mbps_cv,src1_port4_load_util,src1_port5_mbps_cv,src1_port5_load_util,qdepth_max_imbalance,mbps_imbalance,total_qdepth_max,Total_Load_Mbps,Weight_Port2,Capacity_Port2,Weight_Port3,Capacity_Port3,Weight_Port4,Capacity_Port4,Weight_Port5,Capacity_Port5,Label_Latency_ms,Label_Latency_p99_ms,Label_Jitter_ms,Label_Loss_Rate
2,0.2904,0.0597,2,0.3114,0.059,9,0.9022,0.1552,10,0.9088,0.1568,0.2056,0.363,0.1895,0.3892,0.172,0.7518,0.1725,0.7573,8,0.3024,23,2.4,5,0.8,5,0.8,8,1.2,8,1.2,67.4421,179.08000000000004,16.819343989163514,0.0
6,0.5656,0.0906,5,0.5429,0.0903,1,0.0603,0.0254,1,0.0383,0.0209,0.1602,0.707,0.1663,0.6786,0.4212,0.0503,0.5457,0.0319,5,0.2527,13,1.2,4,0.8,4,0.8,1,1.2,1,1.2,49.874599999999994,116.13000000000007,28.048721720284238,0.0
8,0.6979,0.1055,8,0.6937,0.1079,3,0.4954,0.0749,3,0.5096,0.0866,0.1512,0.8724,0.1555,0.8671,0.1512,0.4128,0.1699,0.4247,5,0.0968,22,2.4,6,0.8,6,0.8,8,1.2,8,1.2,119.1389,212.33000000000015,19.684434935357732,0.0
4,0.3619,0.0583,4,0.3497,0.0563,2,0.261,0.0508,3,0.244,0.0439,0.1611,0.4524,0.161,0.4371,0.1946,0.2175,0.1799,0.2033,2,0.0522,13,1.2,5,0.8,5,0.8,3,1.2,3,1.2,34.6414,87.23900000000006,19.087461896989375,0.0
2,0.2003,0.0401,2,0.2017,0.0401,4,0.4034,0.0673,4,0.4091,0.0611,0.2002,0.2504,0.1988,0.2521,0.1668,0.3362,0.1494,0.3409,2,0.1026,12,1.2,6,0.8,6,0.8,7,1.2,7,1.2,31.757799999999996,80.34200000000027,14.214160839123865,0.0
11,0.6188,0.12,11,0.6052,0.1122,6,0.6104,0.114,7,0.5975,0.1081,0.1939,0.7735,0.1854,0.7565,0.1868,0.5087,0.1809,0.4979,5,0.0078,35,2.4,4,0.8,4,0.8,4,1.2,4,1.2,87.9169,257.79000000000144,15.057502365014283,0.0
64,0.7313,0.1119,64,0.7376,0.1194,1,0.3844,0.0945,2,0.3299,0.0737,0.153,0.9141,0.1619,0.922,0.2458,0.3203,0.2234,0.2749,63,0.1896,131,4.8,7,0.8,7,0.8,1,1.2,1,1.2,1576.2834090909091,2865.94,39.79186804641156,46.25232774674116
64,0.7257,0.1282,64,0.728,0.1254,5,0.804,0.1542,4,0.7808,0.1566,0.1767,0.9071,0.1723,0.91,0.1918,0.67,0.2006,0.6507,60,0.0338,137,4.8,7,0.8,7,0.8,8,1.2,8,1.2,2836.8840322580645,4485.65,55.13428168437024,24.90689013035382
64,0.7144,0.1559,64,0.6985,0.1545,12,0.3422,0.1054,12,0.3551,0.1174,0.2182,0.893,0.2212,0.8731,0.308,0.2852,0.3306,0.2959,52,0.179,152,3.6,6,0.8,6,0.8,2,1.2,2,1.2,2505.343606557377,4580.8,97.4534507969626,26.160074743070695
2,0.2172,0.0468,3,0.1996,0.0413,5,0.4056,0.0809,5,0.4189,0.0903,0.2155,0.2715,0.2069,0.2495,0.1995,0.338,0.2156,0.3491,3,0.1022,15,1.2,3,0.8,3,0.8,7,1.2,7,1.2,48.23650000000001,169.9500000000005,29.357857031136668,0.0
64,0.7146,0.1461,64,0.7078,0.1468,4,0.2137,0.079,3,0.1874,0.0728,0.2045,0.8932,0.2074,0.8848,0.3697,0.1781,0.3885,0.1562,61,0.2555,135,4.8,8,0.8,8,0.8,1,1.2,1,1.2,1348.5375,1934.69,21.31887043152977,57.11292200232829
64,0.7321,0.1225,64,0.7333,0.121,4,0.1689,0.0609,1,0.2278,0.0775,0.1673,0.9151,0.165,0.9166,0.3606,0.1408,0.3402,0.1898,63,0.268,133,4.8,7,0.8,7,0.8,2,1.2,2,1.2,1319.6708108108107,2271.16,18.688480620484576,45.18156424581006
64,0.7061,0.1438,64,0.718,0.1415,4,0.286,0.0958,5,0.313,0.085,0.2037,0.8826,0.1971,0.8975,0.335,0.2383,0.2716,0.2608,60,0.2065,137,3.6,8,0.8,8,0.8,1,1.2,1,1.2,1651.2660344827584,2434.89,34.806126777856555,36.66044776119403
64,0.7251,0.1207,64,0.7281,0.1308,5,0.7247,0.1785,5,0.7199,0.2028,0.1665,0.9064,0.1796,0.9101,0.2463,0.6039,0.2817,0.5999,59,0.0029,138,4.8,3,0.8,3,0.8,3,1.2,3,1.2,1311.0801785714284,2555.75,24.625429515191726,25.461772270282907
9,0.5706,0.1396,9,0.5831,0.1442,56,1.0826,0.2489,56,1.0774,0.2419,0.2447,0.7132,0.2473,0.7289,0.2299,0.9022,0.2245,0.8978,47,0.2516,130,3.6,4,0.8,4,0.8,5,1.2,5,1.2,932.966,1320.08,23.53776874823663,0.0
11,0.6962,0.1126,11,0.6936,0.1211,5,0.5034,0.0985,4,0.5019,0.0878,0.1617,0.8702,0.1746,0.867,0.1957,0.4195,0.1749,0.4182,7,0.0961,31,2.4,6,0.8,6,0.8,3,1.2,3,1.2,201.49489999999997,340.02,29.151913784138237,0.0
42,0.6887,0.1414,42,0.6778,0.1341,4,0.5215,0.1258,6,0.5191,0.1167,0.2053,0.8609,0.1978,0.8472,0.2412,0.4346,0.2248,0.4326,38,0.0816,94,2.4,8,0.8,8,0.8,6,1.2,6,1.2,348.6044,1052.0100000000004,27.564870700425264,0.23277467411545624
12,0.4583,0.124,12,0.4553,0.1264,64,1.1289,0.2149,64,1.129,0.2056,0.2706,0.5729,0.2776,0.5691,0.1904,0.9408,0.1821,0.9408,52,0.3361,152,3.6,7,0.8,7,0.8,5,1.2,5,1.2,487.68980000000005,1220.2,17.04124066264443,7.649253731343284
9,0.277,0.0865,9,0.2457,0.0531,4,0.3588,0.0751,3,0.3609,0.0696,0.3123,0.3462,0.2161,0.3071,0.2093,0.299,0.1929,0.3008,6,0.0505,25,1.2,7,0.8,7,0.8,8,1.2,8,1.2,57.5667,478.1500000000016,21.678993168455783,0.0
5,0.5032,0.0726,5,0.5041,0.0849,1,0.1215,0.0363,1,0.0793,0.0317,0.1443,0.629,0.1684,0.6301,0.2988,0.1013,0.3997,0.0661,4,0.2022,12,1.2,8,0.8,8,0.8,3,1.2,3,1.2,54.583400000000005,148.1900000000001,24.215682347064043,0.0
