src1_port2_qdepth_max,src1_port2_mbps_mean,src1_port2_mbps_std,src1_port3_qdepth_max,src1_port3_mbps_mean,src1_port3_mbps_std,src1_port4_qdepth_max,src1_port4_mbps_mean,src1_port4_mbps_std,src1_port5_qdepth_max,src1_port5_mbps_mean,src1_port5_mbps_std,src1_port2_mbps_cv,src1_port2_load_util,src1_port3_mbps_cv,src1_port3_load_util,src1_port4_mbps_cv,src1_port4_load_util,src1_port5_mbps_cv,src1_port5_load_util,qdepth_max_imbalance,mbps_imbalance,total_qdepth_max,Total_Load_Mbps,Weight_Port2,Capacity_Port2,Weight_Port3,Capacity_Port3,Weight_Port4,Capacity_Port4,Weight_Port5,Capacity_Port5,Label_Latency_ms,Label_Latency_p99_ms,Label_Jitter_ms,Label_Loss_Rate
64,0.7143,0.1014,64,0.7254,0.1083,3,0.8873,0.1437,3,0.9089,0.1297,0.142,0.8929,0.1493,0.9068,0.162,0.7394,0.1427,0.7574,61,0.0895,134,3.6,8,0.8,8,0.8,8,1.2,8,1.2,793.8235294117648,1075.04,16.106008771047552,6.318082788671024
3,0.6086,0.0961,3,0.5981,0.0911,3,0.5974,0.0937,3,0.604,0.0923,0.1579,0.7608,0.1523,0.7476,0.1568,0.4978,0.1528,0.5033,0,0.0046,12,2.4,3,0.8,3,0.8,2,1.2,2,1.2,54.02009999999999,111.2000000000001,11.841045159177876,0.0
64,0.7199,0.1214,64,0.7236,0.1168,3,0.7332,0.1207,3,0.7649,0.1387,0.1686,0.8999,0.1614,0.9045,0.1646,0.611,0.1813,0.6374,61,0.0177,134,3.6,2,0.8,2,0.8,3,1.2,3,1.2,879.0445945945946,1133.62,18.70078509214295,14.303482587064675
3,0.4886,0.0634,3,0.5158,0.0817,3,0.7307,0.1059,4,0.6818,0.1001,0.1298,0.6107,0.1584,0.6448,0.1449,0.6089,0.1468,0.5682,1,0.1039,13,2.4,3,0.8,3,0.8,6,1.2,6,1.2,38.287600000000005,82.88400000000004,13.352230676865991,0.0
3,0.588,0.0903,3,0.6127,0.0918,64,1.1102,0.1665,64,1.0983,0.1634,0.1536,0.735,0.1498,0.7659,0.15,0.9252,0.1488,0.9153,61,0.2521,134,3.6,1,0.8,1,0.8,3,1.2,3,1.2,466.61762886597944,719.6399999999999,13.324570886689,1.2748756218905473
64,0.7207,0.1217,64,0.7221,0.1172,0,0.0,0.0,0,0.0,0.0,0.1689,0.9009,0.1623,0.9026,0.0,0.0,0.0,0.0,64,0.3607,128,2.4,8,0.8,8,0.8,1,1.2,1,1.2,870.9478378378378,1027.54,21.88698733494122,33.798882681564244
6,0.5008,0.0717,5,0.51,0.0774,1,0.118,0.0334,1,0.082,0.0274,0.1432,0.626,0.1518,0.6375,0.2831,0.0983,0.3341,0.0683,5,0.2031,13,1.2,5,0.8,5,0.8,1,1.2,1,1.2,40.2961,120.16000000000008,22.83341472762082,0.0
3,0.606,0.0983,3,0.5996,0.0981,3,0.594,0.0992,3,0.6047,0.1017,0.1622,0.7575,0.1636,0.7495,0.167,0.495,0.1682,0.5039,0,0.0047,12,2.4,6,0.8,6,0.8,3,1.2,3,1.2,49.94039999999999,103.05000000000003,12.809865210757456,0.0
4,0.4041,0.0541,4,0.4082,0.0637,2,0.202,0.0442,2,0.2002,0.0425,0.1339,0.5051,0.1561,0.5102,0.2188,0.1683,0.2123,0.1668,2,0.1025,12,1.2,4,0.8,4,0.8,1,1.2,1,1.2,35.30160000000001,84.13600000000001,17.64936561042313,0.0
2,0.2964,0.0539,2,0.3018,0.0556,5,0.9006,0.1386,5,0.9086,0.1375,0.1818,0.3705,0.1842,0.3772,0.1539,0.7505,0.1513,0.7572,3,0.3028,14,2.4,2,0.8,2,0.8,5,1.2,5,1.2,45.4933,87.94200000000002,12.733197260783118,0.0
4,0.1413,0.0455,3,0.1675,0.0465,64,1.1152,0.176,64,1.1061,0.1558,0.322,0.1766,0.2776,0.2094,0.1578,0.9293,0.1409,0.9218,61,0.4782,135,3.6,1,0.8,1,0.8,6,1.2,6,1.2,679.1659722222222,1072.1900000000007,26.88255759350888,25.68407960199005
64,0.7359,0.1154,64,0.7234,0.116,1,0.1571,0.048,1,0.1432,0.0461,0.1568,0.9199,0.1604,0.9042,0.3055,0.1309,0.3219,0.1193,63,0.2898,130,3.6,3,0.8,3,0.8,1,1.2,1,1.2,933.2182258064516,1065.26,10.980656871144364,47.07711442786069
64,0.7273,0.0917,64,0.7352,0.0916,2,0.7483,0.0943,3,0.7652,0.0966,0.1261,0.9091,0.1246,0.919,0.126,0.6236,0.1262,0.6377,62,0.0144,133,3.6,3,0.8,3,0.8,4,1.2,4,1.2,832.905,1002.54,10.50458866570573,12.531094527363184
64,0.7293,0.1103,64,0.7294,0.1105,3,0.6174,0.0945,3,0.5823,0.095,0.1512,0.9116,0.1515,0.9118,0.1531,0.5145,0.1631,0.4853,61,0.0659,134,3.6,7,0.8,7,0.8,3,1.2,3,1.2,855.4856716417911,1019.76,10.926803872527572,19.65174129353234
3,0.502,0.0795,3,0.5105,0.0709,3,0.6998,0.1085,3,0.7037,0.0953,0.1584,0.6275,0.1389,0.6381,0.155,0.5832,0.1354,0.5864,0,0.0978,12,2.4,7,0.8,7,0.8,7,1.2,7,1.2,40.643299999999996,85.51100000000001,14.052646619902136,0.0
2,0.1437,0.0364,2,0.1586,0.03,4,0.4583,0.0682,5,0.4508,0.0708,0.2533,0.1796,0.1892,0.1982,0.1488,0.3819,0.1571,0.3757,3,0.1518,13,1.2,3,0.8,3,0.8,6,1.2,6,1.2,28.971799999999995,72.001,13.35207632207603,0.0
64,0.7347,0.1145,64,0.7413,0.1145,3,0.5955,0.1195,3,0.6073,0.1368,0.1558,0.9184,0.1545,0.9266,0.2007,0.4962,0.2253,0.5061,61,0.0685,134,4.8,4,0.8,4,0.8,3,1.2,3,1.2,1131.5157446808512,1754.6399999999999,9.116209827935936,36.54562383612663
2,0.2574,0.0358,2,0.2476,0.0356,3,0.3611,0.0442,3,0.3564,0.0514,0.1391,0.3218,0.1438,0.3095,0.1224,0.3009,0.1442,0.297,1,0.0533,10,1.2,6,0.8,6,0.8,6,1.2,6,1.2,25.536200000000004,72.37000000000019,11.587223259419787,0.0
14,0.7409,0.1203,14,0.7339,0.1231,14,1.06,0.1614,14,1.0496,0.1835,0.1624,0.9261,0.1677,0.9174,0.1523,0.8833,0.1748,0.8747,0,0.1588,56,3.6,2,0.8,2,0.8,2,1.2,2,1.2,142.40019999999998,291.7900000000004,15.29050352244139,0.24875621890547264
5,0.4511,0.0721,5,0.4585,0.0646,2,0.1416,0.0343,2,0.1605,0.0427,0.1598,0.5639,0.1409,0.5731,0.2422,0.118,0.266,0.1338,3,0.152,14,1.2,4,0.8,4,0.8,3,1.2,3,1.2,34.9052,100.02000000000001,16.469570149903557,0.0
10,0.4241,0.1029,11,0.3838,0.1185,64,1.1328,0.1954,64,1.1409,0.1969,0.2426,0.5301,0.3088,0.4797,0.1725,0.944,0.1726,0.9508,54,0.3667,149,4.8,2,0.8,2,0.8,4,1.2,4,1.2,319.3085,842.1300000000001,37.15716464632693,32.332402234636874
2,0.2134,0.0384,2,0.1905,0.0336,3,0.4003,0.0638,4,0.4113,0.0635,0.1799,0.2668,0.1764,0.2381,0.1594,0.3336,0.1544,0.3428,2,0.1023,11,1.2,1,0.8,1,0.8,3,1.2,3,1.2,30.3833,75.619,15.014250961458334,0.0
7,0.6117,0.0972,7,0.6073,0.1097,6,0.6202,0.1155,4,0.5905,0.0988,0.1589,0.7646,0.1806,0.7591,0.1862,0.5168,0.1673,0.4921,3,0.0108,24,2.4,3,0.8,3,0.8,3,1.2,3,1.2,80.37899999999999,244.97000000000048,14.568086312460357,0.0
3,0.4603,0.0756,3,0.45,0.0781,64,1.1431,0.1848,64,1.1416,0.1908,0.1642,0.5754,0.1736,0.5625,0.1617,0.9526,0.1671,0.9513,61,0.3436,134,3.6,1,0.8,1,0.8,5,1.2,5,1.2,57.277800000000006,201.02,11.951488690177323,7.431592039800996
2,0.2925,0.0657,3,0.3184,0.069,64,1.1474,0.1795,64,1.1489,0.1711,0.2246,0.3656,0.2167,0.398,0.1564,0.9562,0.1489,0.9574,62,0.4214,133,3.6,1,0.8,1,0.8,4,1.2,4,1.2,70.20700000000001,251.27000000000015,14.544283883279148,15.453980099502488
2,0.2659,0.0391,3,0.2525,0.0309,3,0.3493,0.0387,3,0.3656,0.0478,0.147,0.3324,0.1224,0.3156,0.1108,0.2911,0.1307,0.3047,1,0.0497,11,1.2,4,0.8,4,0.8,6,1.2,6,1.2,27.509300000000003,94.14400000000028,13.852159389871622,0.0
64,0.7159,0.1014,64,0.714,0.1083,2,0.3946,0.0669,2,0.4084,0.0792,0.1416,0.8949,0.1517,0.8925,0.1695,0.3288,0.1939,0.3403,62,0.1568,132,2.4,7,0.8,7,0.8,4,1.2,4,1.2,625.8581052631579,1007.06,13.125809212303885,1.1173184357541899
3,0.5138,0.0832,3,0.4942,0.0779,4,0.6998,0.0973,4,0.7009,0.1104,0.1619,0.6422,0.1576,0.6177,0.139,0.5832,0.1575,0.5841,1,0.0984,14,2.4,4,0.8,4,0.8,5,1.2,5,1.2,33.763099999999994,73.53500000000003,16.991478135709055,0.0
3,0.5512,0.0808,2,0.5565,0.0792,64,1.1536,0.1566,64,1.1554,0.1541,0.1466,0.689,0.1423,0.6956,0.1357,0.9613,0.1334,0.9628,62,0.3003,133,4.8,6,0.8,6,0.8,8,1.2,8,1.2,808.485,1676.3100000000002,17.5614004714916,18.924581005586592
64,0.7347,0.1109,64,0.7295,0.1103,1,0.1512,0.0516,1,0.1483,0.0505,0.1509,0.9184,0.1512,0.9119,0.3413,0.126,0.3405,0.1236,63,0.2912,130,3.6,3,0.8,3,0.8,1,1.2,1,1.2,878.9433333333333,995.51,10.742243909050389,46.797263681592035
64,0.7071,0.1141,64,0.7205,0.1082,2,0.4093,0.0727,2,0.3919,0.0693,0.1614,0.8839,0.1502,0.9006,0.1776,0.3411,0.1768,0.3266,62,0.1568,132,2.4,5,0.8,5,0.8,2,1.2,2,1.2,608.7013829787234,989.21,15.015909942943653,1.1173184357541899
2,0.1091,0.0292,1,0.1012,0.0289,5,1.0956,0.1573,6,1.1049,0.1601,0.2676,0.1364,0.2856,0.1265,0.1436,0.913,0.1449,0.9208,5,0.4976,14,2.4,6,0.8,6,0.8,8,1.2,8,1.2,28.9184,59.950000000000074,15.503101522524608,0.0
5,0.5686,0.1175,5,0.57,0.1295,64,1.106,0.1839,64,1.1163,0.1858,0.2066,0.7108,0.2272,0.7125,0.1663,0.9217,0.1664,0.9303,59,0.2709,138,4.8,5,0.8,5,0.8,8,1.2,8,1.2,820.8758208955223,1519.4,15.883795406532617,21.019553072625698
64,0.7405,0.1099,64,0.7348,0.1095,31,1.0016,0.1723,31,0.9755,0.184,0.1484,0.9256,0.149,0.9185,0.172,0.8347,0.1886,0.8129,33,0.1258,190,4.8,8,0.8,8,0.8,6,1.2,6,1.2,1267.889,1942.57,12.400833275577936,24.162011173184357
64,0.7422,0.1044,64,0.7515,0.1052,2,0.5959,0.0979,2,0.583,0.1313,0.1407,0.9278,0.14,0.9394,0.1643,0.4966,0.2252,0.4858,62,0.0789,132,4.8,4,0.8,4,0.8,3,1.2,3,1.2,1104.6702631578949,1768.9,11.742283566988622,35.0174621653085
64,0.74,0.1087,64,0.7318,0.1064,3,0.761,0.167,2,0.7586,0.1468,0.1469,0.925,0.1454,0.9148,0.2194,0.6342,0.1935,0.6322,62,0.0123,133,4.8,4,0.8,4,0.8,6,1.2,6,1.2,1554.4372222222223,1961.7,17.738166418928525,31.6340782122905
64,0.7237,0.1163,64,0.7281,0.1178,0,0.0,0.0,0,0.0,0.0,0.1607,0.9046,0.1618,0.9101,0.0,0.0,0.0,0.0,64,0.363,128,2.4,7,0.8,7,0.8,1,1.2,1,1.2,852.5195774647888,1032.3,16.79735139165282,33.89199255121043
64,0.7632,0.1036,64,0.7653,0.0923,4,0.9063,0.1048,4,0.9152,0.1129,0.1357,0.954,0.1206,0.9566,0.1156,0.7552,0.1234,0.7627,60,0.0733,136,3.6,5,0.8,5,0.8,8,1.2,8,1.2,47.08960000000001,71.74100000000003,11.985821346558854,3.016169154228856
64,0.7133,0.1034,64,0.7235,0.1148,1,0.1108,0.04,1,0.0885,0.0336,0.145,0.8916,0.1587,0.9044,0.361,0.0923,0.3797,0.0738,63,0.3095,130,2.4,5,0.8,5,0.8,1,1.2,1,1.2,867.1679268292684,1032.76,17.739561155148113,25.605214152700185
4,0.5099,0.0813,5,0.5004,0.0759,1,0.1028,0.0327,1,0.1006,0.0294,0.1594,0.6374,0.1517,0.6255,0.3181,0.0857,0.2922,0.0838,4,0.2018,11,1.2,8,0.8,8,0.8,6,1.2,6,1.2,42.5753,94.9030000000001,23.770597744635065,0.0
64,0.7243,0.1149,64,0.7149,0.1077,6,0.7508,0.1662,6,0.7466,0.1642,0.1586,0.9054,0.1507,0.8936,0.2214,0.6257,0.2199,0.6222,58,0.015,140,3.6,6,0.8,6,0.8,4,1.2,4,1.2,953.9965753424658,1445.96,11.311910573490382,14.427860696517413
64,0.7387,0.1048,64,0.7337,0.1006,4,1.0218,0.1509,4,0.9854,0.1522,0.1419,0.9234,0.1371,0.9171,0.1477,0.8515,0.1545,0.8212,60,0.1343,136,4.8,7,0.8,7,0.8,3,1.2,3,1.2,912.4711475409836,1078.4,8.54143180402596,22.258440046565774
3,0.3017,0.0427,3,0.3093,0.0499,3,0.2967,0.0491,3,0.3053,0.0473,0.1415,0.3771,0.1613,0.3866,0.1655,0.2473,0.1549,0.2544,0,0.0046,12,1.2,3,0.8,3,0.8,2,1.2,2,1.2,27.002799999999997,65.23500000000007,12.569678959594286,0.0
4,0.4546,0.0581,5,0.4608,0.0681,2,0.1628,0.0351,1,0.1415,0.034,0.1278,0.5682,0.1478,0.576,0.2156,0.1357,0.2403,0.1179,4,0.153,12,1.2,4,0.8,4,0.8,4,1.2,4,1.2,36.4949,97.14100000000013,19.46967866689329,0.0
1,0.206,0.0476,2,0.204,0.0447,6,1.0043,0.134,6,1.0075,0.1423,0.2311,0.2575,0.2191,0.255,0.1334,0.8369,0.1412,0.8396,5,0.4005,15,2.4,2,0.8,2,0.8,8,1.2,8,1.2,33.07469999999999,84.63600000000012,14.480230226107965,0.0
64,0.7238,0.1072,64,0.711,0.1042,2,0.3033,0.0638,1,0.2961,0.0643,0.1481,0.9048,0.1466,0.8888,0.2104,0.2528,0.2172,0.2468,63,0.2089,131,2.4,8,0.8,8,0.8,6,1.2,6,1.2,771.99,992.99,15.729113717008321,9.776536312849162
6,0.5975,0.0876,6,0.6093,0.0923,0,0.0,0.0,0,0.0,0.0,0.1466,0.7469,0.1515,0.7616,0.0,0.0,0.0,0.0,6,0.3017,12,1.2,6,0.8,6,0.8,2,1.2,2,1.2,55.7223,118.09000000000005,28.8219203032637,0.0
64,0.7166,0.1057,64,0.7079,0.1142,64,1.1527,0.1585,64,1.1525,0.1597,0.1475,0.8958,0.1613,0.8849,0.1375,0.9606,0.1386,0.9604,0,0.2202,256,4.8,7,0.8,7,0.8,8,1.2,8,1.2,771.0007142857144,1267.24,11.331541455762553,15.805400372439479
2,0.2789,0.0551,2,0.3305,0.0635,64,1.1453,0.1825,64,1.1424,0.1942,0.1976,0.3486,0.1921,0.4131,0.1593,0.9544,0.17,0.952,62,0.42,132,3.6,2,0.8,2,0.8,8,1.2,8,1.2,51.5405,118.16000000000008,18.909941981806185,14.02363184079602
0,0.0,0.0,0,0.0,0.0,64,1.1091,0.154,64,1.1085,0.1488,0.0,0.0,0.0,0.0,0.1389,0.9242,0.1342,0.9238,64,0.5544,128,2.4,2,0.8,2,0.8,7,1.2,7,1.2,449.2884210526316,694.0,17.547395794550088,2.560521415270019
4,0.4498,0.0722,5,0.4565,0.0688,2,0.1547,0.0324,2,0.1448,0.0366,0.1605,0.5622,0.1507,0.5706,0.2094,0.1289,0.2528,0.1207,3,0.1518,13,1.2,8,0.8,8,0.8,2,1.2,2,1.2,34.9127,94.65400000000002,15.789954364421645,0.0
4,0.5807,0.1175,3,0.5772,0.1049,64,1.1145,0.1538,64,1.1254,0.1455,0.2023,0.7259,0.1817,0.7215,0.138,0.9288,0.1293,0.9378,61,0.2705,135,4.8,5,0.8,5,0.8,7,1.2,7,1.2,1167.4816176470588,1546.61,19.423514371884135,21.345437616387336
64,0.7337,0.1103,64,0.7313,0.1135,18,0.9991,0.1724,18,0.998,0.1686,0.1503,0.9171,0.1552,0.9141,0.1726,0.8326,0.1689,0.8317,46,0.133,164,4.8,4,0.8,4,0.8,2,1.2,2,1.2,944.4434426229509,1355.8,10.734830202994052,22.22998137802607
3,0.3506,0.0561,4,0.3607,0.0524,2,0.2546,0.0473,2,0.2467,0.047,0.16,0.4382,0.1453,0.4509,0.1858,0.2122,0.1905,0.2056,2,0.0527,11,1.2,8,0.8,8,0.8,7,1.2,7,1.2,29.905900000000003,75.30199999999999,14.246361348158583,0.0
3,0.6013,0.0907,3,0.6074,0.0956,44,1.1529,0.1585,44,1.1537,0.1565,0.1508,0.7516,0.1574,0.7592,0.1375,0.9608,0.1357,0.9614,41,0.2745,94,3.6,3,0.8,3,0.8,7,1.2,7,1.2,51.5978,123.26000000000013,11.429652095797003,0.0
1,0.0521,0.0231,2,0.0499,0.0213,6,0.5589,0.0783,5,0.5544,0.0836,0.4434,0.0651,0.4269,0.0624,0.1401,0.4658,0.1508,0.462,5,0.2528,14,1.2,1,0.8,1,0.8,7,1.2,7,1.2,29.976900000000004,65.09700000000005,15.465449042458848,0.0
64,0.7325,0.1104,64,0.7289,0.1077,2,0.5924,0.1016,2,0.6075,0.0953,0.1507,0.9156,0.1478,0.9111,0.1715,0.4937,0.1569,0.5063,62,0.0656,132,3.6,8,0.8,8,0.8,2,1.2,2,1.2,844.7670491803278,1015.8,10.553230067558497,22.046019900497512
6,0.5559,0.129,5,0.5632,0.1268,64,1.1392,0.1965,64,1.1419,0.1922,0.2321,0.6949,0.2251,0.704,0.1725,0.9493,0.1683,0.9516,59,0.2905,139,4.8,1,0.8,1,0.8,5,1.2,5,1.2,431.25069999999994,1351.1200000000001,27.395898058690737,22.579143389199256
8,0.6004,0.0925,8,0.6021,0.0826,6,0.5948,0.0897,6,0.6118,0.093,0.1541,0.7505,0.1372,0.7526,0.1508,0.4957,0.152,0.5098,2,0.0061,28,2.4,7,0.8,7,0.8,7,1.2,7,1.2,57.367799999999995,215.12000000000006,22.982478549260694,0.0
2,0.1457,0.0355,2,0.1558,0.0415,64,1.1207,0.1577,64,1.1238,0.1501,0.2437,0.1821,0.2664,0.1947,0.1407,0.9339,0.1336,0.9365,62,0.4858,132,3.6,4,0.8,4,0.8,8,1.2,8,1.2,594.3838356164384,695.6800000000001,11.592031021838826,23.849502487562187
4,0.3561,0.0517,3,0.3472,0.0485,3,0.2579,0.0429,3,0.2542,0.0418,0.1452,0.4451,0.1397,0.434,0.1663,0.2149,0.1644,0.2118,1,0.0479,13,1.2,6,0.8,6,0.8,7,1.2,7,1.2,21.894000000000002,50.24100000000002,13.889480807676726,0.0
1,0.1909,0.06,1,0.2094,0.0603,64,1.1321,0.1408,64,1.1292,0.1509,0.3143,0.2386,0.288,0.2618,0.1244,0.9434,0.1336,0.941,63,0.4653,130,4.8,1,0.8,1,0.8,6,1.2,6,1.2,909.5069811320753,1373.04,11.720359655047059,41.084729981378025
24,0.5942,0.1023,24,0.6047,0.1247,64,1.1509,0.1651,64,1.1525,0.1606,0.1722,0.7427,0.2062,0.7559,0.1435,0.9591,0.1393,0.9604,40,0.2762,176,4.8,8,0.8,8,0.8,8,1.2,8,1.2,300.462,837.2900000000002,10.715492311390003,23.306169965075668
4,0.3948,0.0575,4,0.4163,0.0617,2,0.2057,0.0487,2,0.1957,0.0438,0.1456,0.4935,0.1482,0.5204,0.2368,0.1714,0.2238,0.1631,2,0.1028,12,1.2,8,0.8,8,0.8,6,1.2,6,1.2,30.526400000000002,74.71400000000001,15.224912092320444,0.0
64,0.7589,0.1102,64,0.7592,0.1119,64,1.0901,0.158,64,1.0791,0.1617,0.1452,0.9486,0.1474,0.949,0.1449,0.9084,0.1498,0.8992,0,0.1628,256,4.8,6,0.8,6,0.8,7,1.2,7,1.2,638.0510638297873,974.9799999999999,8.307803259347663,16.829608938547487
37,0.7171,0.1071,37,0.7063,0.0981,7,1.0516,0.1576,7,1.0659,0.1511,0.1494,0.8964,0.1389,0.8829,0.1499,0.8763,0.1418,0.8883,30,0.1736,88,3.6,3,0.8,3,0.8,3,1.2,3,1.2,388.8457,679.2100000000002,12.849849060546427,0.0
4,0.718,0.1023,5,0.6914,0.1017,2,0.5025,0.0709,2,0.5016,0.0804,0.1425,0.8975,0.1471,0.8642,0.1411,0.4188,0.1603,0.418,3,0.1018,13,2.4,6,0.8,6,0.8,2,1.2,2,1.2,67.49870000000001,108.02000000000001,13.625691416197057,0.0
17,0.7328,0.1181,17,0.7396,0.1186,64,1.1113,0.1661,64,1.1216,0.165,0.1612,0.916,0.1604,0.9245,0.1495,0.9261,0.1471,0.9347,47,0.1902,162,4.8,4,0.8,4,0.8,8,1.2,8,1.2,1050.0719178082193,2003.04,26.876907270776154,15.386405959031658
2,0.3998,0.0725,2,0.4104,0.0648,64,1.1519,0.1619,64,1.1551,0.1535,0.1813,0.4998,0.1579,0.513,0.1406,0.9599,0.1329,0.9626,62,0.3742,132,4.8,3,0.8,3,0.8,7,1.2,7,1.2,48.4432,112.42000000000021,11.0017052122154,32.16945996275605
5,0.5997,0.0969,5,0.6051,0.0996,0,0.0,0.0,0,0.0,0.0,0.1616,0.7496,0.1646,0.7564,0.0,0.0,0.0,0.0,5,0.3012,10,1.2,8,0.8,8,0.8,1,1.2,1,1.2,63.016099999999994,132.16000000000008,28.791275364466838,0.0
47,0.741,0.1058,48,0.7468,0.1107,64,1.1156,0.1518,64,1.1188,0.1437,0.1428,0.9262,0.1482,0.9335,0.1361,0.9297,0.1284,0.9323,17,0.1867,223,4.8,5,0.8,5,0.8,7,1.2,7,1.2,1011.1813924050633,1712.52,10.899964183910827,17.38826815642458
64,0.7297,0.086,64,0.7348,0.0964,4,0.7552,0.1027,3,0.7556,0.0983,0.1179,0.9121,0.1312,0.9185,0.136,0.6293,0.1301,0.6297,61,0.0117,135,3.6,2,0.8,2,0.8,3,1.2,3,1.2,841.054,1023.0,10.383629455509666,12.406716417910447
64,0.7188,0.0966,64,0.7231,0.099,3,0.9184,0.131,3,0.8882,0.1228,0.1344,0.8985,0.1369,0.9039,0.1426,0.7653,0.1383,0.7402,61,0.0918,134,3.6,6,0.8,6,0.8,4,1.2,4,1.2,779.5369411764706,1023.16,10.646389320210142,5.441542288557214
0,0.0,0.0,0,0.0,0.0,64,1.1132,0.1765,64,1.1216,0.1609,0.0,0.0,0.0,0.0,0.1586,0.9277,0.1435,0.9347,64,0.5587,128,3.6,1,0.8,1,0.8,3,1.2,3,1.2,630.4883098591549,735.1,29.137298187320958,33.83084577114428
64,0.7398,0.1086,64,0.7462,0.1115,2,0.376,0.0761,2,0.4155,0.084,0.1468,0.9248,0.1494,0.9328,0.2024,0.3133,0.2022,0.3462,62,0.1742,132,4.8,7,0.8,7,0.8,1,1.2,1,1.2,1033.4113888888887,1376.8999999999999,12.237160598482246,48.55679702048417
4,0.406,0.0518,4,0.4109,0.0435,2,0.2132,0.0332,2,0.1958,0.0377,0.1276,0.5075,0.1059,0.5136,0.1557,0.1777,0.1925,0.1632,2,0.1022,12,1.2,1,0.8,1,0.8,1,1.2,1,1.2,33.641400000000004,73.13600000000001,14.340200726901347,0.0
2,0.2522,0.0434,3,0.2495,0.0416,3,0.3552,0.0558,3,0.3573,0.0517,0.1721,0.3152,0.1667,0.3119,0.1571,0.296,0.1447,0.2978,1,0.0527,11,1.2,2,0.8,2,0.8,5,1.2,5,1.2,20.348300000000002,64.23400000000002,11.801086023471308,0.0
64,0.7385,0.116,64,0.7295,0.1193,40,0.9011,0.1686,40,0.9214,0.1745,0.1571,0.9231,0.1635,0.9119,0.1871,0.7509,0.1894,0.7678,24,0.089,208,4.8,4,0.8,4,0.8,3,1.2,3,1.2,1688.7023636363638,2734.7400000000002,17.470726485638842,21.671322160148975
64,0.7257,0.1078,64,0.7307,0.1178,50,1.1356,0.1753,50,1.1397,0.1756,0.1485,0.9071,0.1612,0.9134,0.1544,0.9463,0.1541,0.9498,14,0.2047,228,4.8,3,0.8,3,0.8,1,1.2,1,1.2,1012.3479411764706,1415.29,11.322044405772504,16.50756693830035
2,0.2971,0.0556,2,0.3047,0.0524,5,0.9027,0.1311,5,0.9122,0.1291,0.1871,0.3714,0.172,0.3809,0.1452,0.7522,0.1415,0.7602,3,0.3033,14,2.4,2,0.8,2,0.8,6,1.2,6,1.2,48.602799999999995,88.71500000000012,13.044302102765277,0.0
64,0.7088,0.0995,64,0.7205,0.1094,2,0.4104,0.0645,2,0.3949,0.0593,0.1404,0.886,0.1518,0.9006,0.1572,0.342,0.1502,0.3291,62,0.1562,132,2.4,6,0.8,6,0.8,5,1.2,5,1.2,605.2651546391753,992.16,13.79377500406829,1.1638733705772812
2,0.4621,0.0787,4,0.4503,0.0677,64,1.1539,0.1634,64,1.154,0.1606,0.1703,0.5776,0.1503,0.5629,0.1416,0.9616,0.1392,0.9617,62,0.3489,134,3.6,1,0.8,1,0.8,5,1.2,5,1.2,44.676,86.90100000000005,11.365473316995445,7.027363184079602
64,0.7361,0.1132,64,0.73,0.1142,3,0.7836,0.1333,3,0.7713,0.1472,0.1538,0.9201,0.1564,0.9125,0.1701,0.653,0.1908,0.6428,61,0.0227,134,4.8,3,0.8,3,0.8,2,1.2,2,1.2,1180.763103448276,1577.29,9.722697014773534,28.910614525139668
3,0.5041,0.0655,3,0.5126,0.063,4,0.7065,0.077,3,0.7104,0.0834,0.1299,0.6301,0.1229,0.6407,0.109,0.5888,0.1174,0.592,1,0.1001,13,2.4,8,0.8,8,0.8,8,1.2,8,1.2,38.4216,73.31400000000006,11.87410870986404,0.0
2,0.4545,0.0745,2,0.4489,0.0644,64,1.119,0.1603,64,1.1045,0.1559,0.1639,0.5681,0.1435,0.5611,0.1433,0.9325,0.1411,0.9204,62,0.3301,132,3.6,2,0.8,2,0.8,5,1.2,5,1.2,584.3887209302326,869.8000000000001,10.051542192168831,9.67039800995025
0,0.0,0.0,0,0.0,0.0,5,0.6079,0.0918,5,0.6066,0.083,0.0,0.0,0.0,0.0,0.151,0.5066,0.1368,0.5055,5,0.3036,10,1.2,1,0.8,1,0.8,7,1.2,7,1.2,32.0367,75.07500000000005,17.58963819455587,0.0
3,0.3052,0.0456,3,0.3069,0.0443,3,0.3046,0.056,3,0.2984,0.0508,0.1494,0.3815,0.1443,0.3836,0.1838,0.2538,0.1702,0.2487,0,0.0032,12,1.2,3,0.8,3,0.8,3,1.2,3,1.2,27.940900000000003,60.45500000000003,12.5118206522827,0.0
64,0.7348,0.1138,64,0.7342,0.1106,2,0.6234,0.1133,2,0.5624,0.094,0.1549,0.9185,0.1506,0.9178,0.1817,0.5195,0.1671,0.4687,62,0.074,132,4.8,8,0.8,8,0.8,3,1.2,3,1.2,983.4616279069767,1298.04,11.834070693865021,40.572625698324025
64,0.7637,0.0944,64,0.7607,0.107,64,1.1048,0.1744,64,1.1031,0.1539,0.1236,0.9546,0.1407,0.9509,0.1579,0.9207,0.1395,0.9192,0,0.1709,256,4.8,7,0.8,7,0.8,6,1.2,6,1.2,526.7279166666667,721.3,7.968119746360127,16.689944134078214
