src1_port2_qdepth_max,src1_port2_mbps_mean,src1_port2_mbps_std,src1_port3_qdepth_max,src1_port3_mbps_mean,src1_port3_mbps_std,src1_port4_qdepth_max,src1_port4_mbps_mean,src1_port4_mbps_std,src1_port5_qdepth_max,src1_port5_mbps_mean,src1_port5_mbps_std,Total_Load_Mbps,Weight_Port2,Capacity_Port2,Weight_Port3,Capacity_Port3,Weight_Port4,Capacity_Port4,Weight_Port5,Capacity_Port5,Label_Latency_ms,Label_Jitter_ms,Label_Loss_Rate,src1_port2_mbps_cv,src1_port3_mbps_cv,src1_port4_mbps_cv,src1_port5_mbps_cv,src1_port2_load_util,src1_port3_load_util,src1_port4_load_util,src1_port5_load_util,qdepth_max_imbalance,mbps_imbalance,total_qdepth_max,Label_Class
5,0.5839,0.1181,4,0.5836,0.1056,46,1.1374,0.1868,46,1.1341,0.1919,3.6,8,0.8,8,0.8,6,1.2,6,1.2,167.76,12.614082140173023,0.0,0.2023,0.1809,0.1642,0.1692,0.7299,0.7295,0.9478,0.9451,42,0.276,101,2
64,0.7516,0.1204,64,0.7526,0.1196,10,0.7781,0.1872,10,0.744,0.1709,4.8,4,0.8,4,0.8,3,1.2,3,1.2,3004.327,33.19313660205413,18.183934807916184,0.1602,0.1589,0.2406,0.2297,0.9395,0.9408,0.6484,0.62,54,0.0129,148,1
64,0.7537,0.1189,64,0.7541,0.1204,1,0.1591,0.0438,1,0.1624,0.0468,4.8,6,0.8,6,0.8,1,1.2,1,1.2,8.266,50.293867778844,52.56052141527002,0.1578,0.1597,0.2753,0.2882,0.9421,0.9426,0.1326,0.1353,63,0.2966,130,2
3,0.4065,0.0611,3,0.3971,0.0601,2,0.2105,0.045,2,0.1903,0.0457,1.2,6,0.8,6,0.8,5,1.2,5,1.2,40.388,16.439983285033954,0.0,0.1503,0.1513,0.2138,0.2401,0.5081,0.4964,0.1754,0.1586,1,0.101,10,0
64,0.7512,0.1174,64,0.7546,0.1238,15,0.7902,0.1845,15,0.8066,0.1799,4.8,6,0.8,6,0.8,8,1.2,8,1.2,2206.392,28.241095640775026,18.01675977653631,0.1563,0.1641,0.2335,0.223,0.939,0.9432,0.6585,0.6722,49,0.0235,158,1
1,0.1455,0.0472,1,0.1501,0.0449,64,1.1445,0.1852,64,1.1416,0.1879,4.8,1,0.8,1,0.8,8,1.2,8,1.2,2449.648,52.412856665446085,34.40409683426443,0.3244,0.2991,0.1618,0.1646,0.1819,0.1876,0.9538,0.9513,63,0.4976,130,1
4,0.3593,0.0549,3,0.3455,0.0569,3,0.2561,0.0511,3,0.2483,0.04,1.2,4,0.8,4,0.8,4,1.2,4,1.2,46.516,16.88730273875655,0.0,0.1528,0.1647,0.1995,0.1611,0.4491,0.4319,0.2134,0.2069,1,0.0504,13,0
1,0.2877,0.0592,2,0.31,0.0855,64,1.1441,0.1695,64,1.1499,0.166,3.6,2,0.8,2,0.8,7,1.2,7,1.2,604.388,11.965262579969792,15.267412935323382,0.2058,0.2758,0.1482,0.1444,0.3596,0.3875,0.9534,0.9582,63,0.4242,131,1
64,0.7517,0.1256,64,0.7529,0.1194,3,0.5623,0.1045,2,0.5709,0.1102,4.8,8,0.8,8,0.8,5,1.2,5,1.2,3549.766,50.151556579803,28.88733705772812,0.1671,0.1586,0.1858,0.193,0.9396,0.9411,0.4686,0.4758,62,0.0929,133,1
64,0.7557,0.1192,64,0.7547,0.1136,2,0.4305,0.0909,2,0.4634,0.0929,4.8,6,0.8,6,0.8,8,1.2,8,1.2,2951.526,43.64803986585383,35.70763500931099,0.1577,0.1505,0.2111,0.2005,0.9446,0.9434,0.3588,0.3862,62,0.1546,132,1
64,0.7497,0.12,64,0.7547,0.1134,27,0.9106,0.1923,27,0.9143,0.1862,4.8,8,0.8,8,0.8,6,1.2,6,1.2,3006.873,35.1201993660832,14.920856610800746,0.1601,0.1503,0.2112,0.2037,0.9371,0.9434,0.7588,0.7619,37,0.0802,182,1
41,0.7493,0.1208,40,0.7526,0.1179,2,0.3915,0.0733,2,0.406,0.0794,2.4,8,0.8,8,0.8,2,1.2,2,1.2,336.327,18.07830518004176,0.0,0.1612,0.1567,0.1872,0.1956,0.9366,0.9408,0.3263,0.3383,39,0.1762,85,2
2,0.3029,0.0684,2,0.2971,0.0605,4,0.8829,0.1356,4,0.919,0.1364,2.4,3,0.8,3,0.8,6,1.2,6,1.2,63.192,12.65054325039834,0.0,0.2258,0.2036,0.1536,0.1484,0.3786,0.3714,0.7358,0.7658,2,0.3008,12,0
3,0.4,0.0636,2,0.4028,0.0662,4,0.8125,0.12,4,0.7881,0.1224,2.4,2,0.8,2,0.8,4,1.2,4,1.2,68.759,15.564422793092556,0.0,0.159,0.1643,0.1477,0.1553,0.5,0.5035,0.6771,0.6568,2,0.1996,13,0
1,0.0933,0.0305,1,0.1073,0.0279,4,0.506,0.0801,5,0.4963,0.0762,1.2,3,0.8,3,0.8,8,1.2,8,1.2,43.136,16.06500212393586,0.0,0.3269,0.26,0.1583,0.1535,0.1166,0.1341,0.4217,0.4136,4,0.2005,11,0
3,0.2948,0.0466,3,0.3065,0.0484,3,0.2942,0.054,3,0.3067,0.0539,1.2,6,0.8,6,0.8,8,1.2,8,1.2,43.572,15.621020724225785,0.0,0.1581,0.1579,0.1835,0.1757,0.3685,0.3831,0.2452,0.2556,0,0.0061,12,0
64,0.7528,0.1239,64,0.7527,0.1253,1,0.1533,0.0387,1,0.1449,0.0434,3.6,5,0.8,5,0.8,1,1.2,1,1.2,875.318,13.633412185346872,45.242537313432834,0.1646,0.1665,0.2524,0.2995,0.941,0.9409,0.1278,0.1208,63,0.3018,130,1
2,0.498,0.0831,3,0.5052,0.079,3,0.6916,0.1063,3,0.7108,0.1112,2.4,7,0.8,7,0.8,4,1.2,4,1.2,66.335,14.204042195379738,0.0,0.1669,0.1564,0.1537,0.1564,0.6225,0.6315,0.5763,0.5923,1,0.1001,11,0
64,0.7568,0.1127,64,0.7566,0.1119,2,0.3156,0.0607,2,0.2866,0.0652,2.4,5,0.8,5,0.8,1,1.2,1,1.2,626.126,18.089839742246465,4.934823091247672,0.1489,0.1479,0.1923,0.2275,0.946,0.9458,0.263,0.2388,62,0.228,132,2
5,0.5016,0.0728,4,0.4998,0.0762,1,0.0986,0.0298,1,0.1035,0.0278,1.2,8,0.8,8,0.8,1,1.2,1,1.2,52.901,21.216659724754184,0.0,0.1451,0.1525,0.3022,0.2686,0.627,0.6248,0.0822,0.0862,4,0.1998,11,0
4,0.6021,0.0946,3,0.5951,0.0926,3,0.5844,0.0937,3,0.6143,0.1022,2.4,1,0.8,1,0.8,2,1.2,2,1.2,69.882,14.540336001712312,0.0,0.1571,0.1556,0.1603,0.1664,0.7526,0.7439,0.487,0.5119,1,0.0109,13,0
64,0.7543,0.1139,64,0.7566,0.1168,1,0.1007,0.0388,1,0.0984,0.0336,2.4,7,0.8,7,0.8,2,1.2,2,1.2,765.199,16.807321266088113,22.48603351955307,0.151,0.1544,0.3853,0.3415,0.9429,0.9458,0.0839,0.082,63,0.328,130,1
1,0.1006,0.0345,1,0.0999,0.0371,6,1.1006,0.1613,6,1.0982,0.1599,2.4,1,0.8,1,0.8,4,1.2,4,1.2,54.509,16.760799233782237,0.0,0.3429,0.3714,0.1466,0.1456,0.1257,0.1249,0.9172,0.9152,5,0.4996,14,0
64,0.7549,0.1229,64,0.754,0.1237,6,0.953,0.169,5,0.9313,0.164,4.8,1,0.8,1,0.8,3,1.2,3,1.2,2098.682,31.50097797866864,14.548417132216017,0.1628,0.1641,0.1773,0.1761,0.9436,0.9425,0.7942,0.7761,59,0.0942,139,1
