Timestamp,src1_port2_qdepth,src1_port2_mbps,src1_port3_qdepth,src1_port3_mbps,src1_port4_qdepth,src1_port4_mbps,src1_port5_qdepth,src1_port5_mbps
1777576732.7013135,1,0.01,1,0.01,1,0.02,1,0.03
1777576732.803429,1,0.01,1,0.01,1,0.02,1,0.03
1777576732.9053514,1,0.01,1,0.02,1,0.02,1,0.03
1777576733.007671,1,0.01,1,0.01,1,0.02,1,0.02
1777576733.1338427,1,0.09,1,0.04,2,0.07,1,0.05
1777576733.251997,0,0.1,1,0.09,1,0.11,1,0.06
1777576733.3656805,2,0.19,1,0.09,2,0.2,2,0.1
1777576733.4787567,1,0.19,1,0.13,2,0.2,1,0.2
1777576733.6072264,2,0.19,2,0.17,4,0.3,5,0.3
1777576733.7142723,2,0.2,2,0.22,2,0.31,1,0.21
1777576733.8264742,0,0.14,2,0.24,1,0.25,0,0.15
1777576733.947691,3,0.18,3,0.26,4,0.35,5,0.36
1777576734.0629578,4,0.28,1,0.27,6,0.39,7,0.5
1777576734.1728852,2,0.33,1,0.28,1,0.37,2,0.47
1777576734.2918622,1,0.32,1,0.26,2,0.41,1,0.42
1777576734.4141243,1,0.31,1,0.24,2,0.4,1,0.38
1777576734.5277355,2,0.34,2,0.29,2,0.4,1,0.36
1777576734.646587,1,0.27,1,0.23,2,0.4,1,0.37
1777576734.7628133,2,0.28,3,0.28,2,0.37,2,0.41
1777576734.8759112,1,0.26,1,0.23,2,0.35,2,0.38
1777576734.9998007,2,0.29,2,0.27,4,0.44,3,0.4
1777576735.1134105,2,0.3,3,0.26,3,0.4,2,0.37
1777576735.23727,2,0.29,2,0.29,3,0.37,1,0.35
1777576735.3473628,0,0.2,0,0.2,1,0.32,1,0.37
1777576735.4730215,3,0.28,3,0.28,2,0.39,3,0.4
1777576735.6001678,2,0.25,3,0.28,3,0.38,3,0.39
1777576735.7026823,4,0.31,4,0.3,2,0.4,3,0.37
1777576735.8249867,1,0.28,2,0.35,1,0.4,1,0.46
1777576735.9509597,1,0.3,1,0.3,2,0.42,1,0.41
1777576736.0600326,1,0.25,1,0.27,1,0.39,1,0.32
1777576736.1803236,1,0.26,1,0.25,3,0.5,2,0.39
1777576736.298051,1,0.27,1,0.32,1,0.41,1,0.36
1777576736.4213927,2,0.33,1,0.31,1,0.4,2,0.4
1777576736.5350556,2,0.32,1,0.22,2,0.34,1,0.4
1777576736.652339,1,0.32,1,0.24,2,0.36,2,0.4
1777576736.760391,1,0.38,1,0.24,1,0.41,1,0.47
1777576736.8933003,2,0.32,1,0.22,2,0.31,2,0.44
1777576737.0216627,2,0.31,2,0.23,3,0.41,2,0.39
1777576737.1406875,1,0.25,2,0.25,1,0.32,2,0.33
1777576737.2640166,3,0.26,2,0.26,3,0.33,3,0.4
1777576737.39135,3,0.29,3,0.26,3,0.4,3,0.39
1777576737.5860062,2,0.24,1,0.24,1,0.31,2,0.33
1777576737.7358644,2,0.21,0,0.17,3,0.38,2,0.27
1777576737.8373775,4,0.42,4,0.43,3,0.37,4,0.5
1777576737.9390054,2,0.37,2,0.37,2,0.43,2,0.45
1777576738.0403705,1,0.36,1,0.3,1,0.44,2,0.49
1777576738.1529214,1,0.28,1,0.27,1,0.37,1,0.44
1777576738.257135,2,0.26,2,0.22,1,0.29,2,0.34
1777576738.380288,2,0.3,3,0.24,4,0.43,4,0.46
1777576738.615981,1,0.24,1,0.2,1,0.33,1,0.34
1777576738.835143,0,0.17,0,0.14,0,0.23,0,0.24
1777576738.9376957,3,0.15,3,0.23,0,0.16,0,0.17
1777576739.0390337,3,0.24,3,0.27,3,0.29,2,0.25
1777576739.1435113,2,0.2,3,0.22,5,0.37,5,0.38
1777576739.2486181,3,0.34,2,0.35,2,0.42,3,0.56
1777576739.390193,1,0.39,1,0.39,2,0.47,1,0.52
1777576739.5023003,1,0.4,1,0.34,6,0.45,6,0.49
1777576739.6160436,2,0.43,1,0.33,2,0.56,2,0.62
1777576739.7219312,1,0.4,1,0.33,1,0.49,2,0.53
1777576739.8477993,2,0.37,3,0.34,3,0.48,4,0.51
1777576739.9646935,1,0.32,1,0.3,2,0.4,2,0.42
1777576740.0829546,2,0.31,2,0.33,4,0.42,3,0.41
1777576740.2039006,1,0.3,1,0.31,3,0.47,2,0.49
1777576740.3291235,1,0.3,1,0.28,2,0.44,1,0.48
1777576740.4317875,1,0.31,1,0.26,1,0.34,2,0.44
1777576740.5432005,2,0.34,2,0.28,3,0.33,2,0.43
1777576740.6547792,1,0.33,1,0.23,2,0.39,1,0.49
1777576740.7780719,2,0.29,1,0.22,2,0.36,3,0.43
1777576740.898805,2,0.32,2,0.21,1,0.37,1,0.36
1777576741.0829256,1,0.24,0,0.17,0,0.26,0,0.25
1777576741.197865,0,0.17,0,0.12,0,0.18,0,0.17
1777576741.3017693,2,0.25,2,0.18,3,0.33,2,0.26
1777576741.4113507,1,0.27,1,0.26,2,0.36,2,0.37
1777576741.5266452,1,0.34,2,0.3,2,0.46,2,0.35
1777576741.6417003,2,0.27,1,0.27,3,0.59,3,0.46
1777576741.7633708,2,0.36,2,0.39,2,0.64,2,0.43
1777576741.9029775,2,0.33,2,0.35,1,0.53,1,0.4
1777576742.027779,2,0.34,2,0.35,2,0.48,2,0.37
1777576742.1414366,2,0.36,1,0.28,1,0.49,3,0.38
1777576742.2632506,0,0.25,1,0.22,3,0.54,3,0.41
1777576742.3926702,3,0.29,3,0.24,1,0.46,1,0.37
1777576742.5053325,3,0.35,4,0.29,1,0.38,1,0.35
1777576742.6342547,2,0.36,1,0.29,2,0.38,2,0.27
