src1_port2_qdepth_max,src1_port2_mbps_mean,src1_port2_mbps_std,src1_port3_qdepth_max,src1_port3_mbps_mean,src1_port3_mbps_std,src1_port4_qdepth_max,src1_port4_mbps_mean,src1_port4_mbps_std,src1_port5_qdepth_max,src1_port5_mbps_mean,src1_port5_mbps_std,src1_port2_mbps_cv,src1_port2_load_util,src1_port3_mbps_cv,src1_port3_load_util,src1_port4_mbps_cv,src1_port4_load_util,src1_port5_mbps_cv,src1_port5_load_util,qdepth_max_imbalance,mbps_imbalance,total_qdepth_max,Total_Load_Mbps,Weight_Port2,Capacity_Port2,Weight_Port3,Capacity_Port3,Weight_Port4,Capacity_Port4,Weight_Port5,Capacity_Port5,Label_Latency_ms,Label_Latency_p99_ms,Label_Jitter_ms,Label_Loss_Rate,qdepth_p99_port2,qdepth_slope_port2,qdepth_cv_port2,qdepth_max_diff_port2,qdepth_danger_ratio_port2,qdepth_fft_max_port2,qdepth_fft_centroid_port2,mbps_slope_port2,qdepth_p99_port3,qdepth_slope_port3,qdepth_cv_port3,qdepth_max_diff_port3,qdepth_danger_ratio_port3,qdepth_fft_max_port3,qdepth_fft_centroid_port3,mbps_slope_port3,qdepth_p99_port4,qdepth_slope_port4,qdepth_cv_port4,qdepth_max_diff_port4,qdepth_danger_ratio_port4,qdepth_fft_max_port4,qdepth_fft_centroid_port4,mbps_slope_port4,qdepth_p99_port5,qdepth_slope_port5,qdepth_cv_port5,qdepth_max_diff_port5,qdepth_danger_ratio_port5,qdepth_fft_max_port5,qdepth_fft_centroid_port5,mbps_slope_port5,max_qdepth_p99,total_qdepth_p99,qdepth_oscillation,qdepth_fft_max_all
64,0.7204,0.111,64,0.7156,0.1131,6,0.9109,0.143,6,0.8854,0.1484,0.1541,0.9005,0.158,0.8945,0.157,0.7591,0.1676,0.7378,58,0.0905,140,3.6,5,0.8,5,0.8,5,1.2,5,1.2,794.3477777777778,1174.8000000000002,16.684337321965387,6.063432835820896,64.0,0.6535913580615321,0.41007541780158147,4.0,0.7096774193548387,1076.7986532466168,0.12049590812293559,0.0015921637671212478,64.0,0.6512339231894007,0.4081688542717001,3.0,0.7204301075268817,1072.0670875122798,0.1192096169197555,0.0015824654591029895,5.079999999999998,0.007549759780370638,0.4444952908955613,2.0,0.0,19.593619648855473,0.19661159201224657,0.0018377547670914106,5.079999999999998,0.011011309719196689,0.47016799894174544,3.0,0.0,19.175284539639463,0.1939243323390826,0.0019195189639223005,64.0,138.15999999999997,0.43322689047764706,1076.7986532466168
64,0.72,0.1498,64,0.7209,0.1396,48,1.1123,0.2469,47,1.1105,0.2473,0.2081,0.9,0.1936,0.9011,0.222,0.9269,0.2227,0.9254,17,0.1955,223,4.8,8,0.8,8,0.8,5,1.2,5,1.2,1312.2685714285717,1702.66,12.298196155091755,17.202048417132215,64.0,0.6045728465083303,0.3903822884323431,7.0,0.7608695652173914,979.1806692671366,0.12015177362923207,0.002465823096959139,64.0,0.6027773068446278,0.3896735788954758,7.0,0.7608695652173914,976.7232267626971,0.11792410496985277,0.0025586054898817864,46.18000000000001,0.41036943421235145,0.5929676143943524,10.0,0.06521739130434782,506.0822666979706,0.13852790128652429,0.005248601328545229,45.18000000000001,0.4117873711141593,0.5962006210814671,10.0,0.06521739130434782,511.8443878675656,0.1377344685523621,0.005353559483994261,64.0,219.36,0.49230602570090964,979.1806692671366
64,0.7235,0.1346,64,0.724,0.1297,5,0.6185,0.1586,6,0.6085,0.1718,0.186,0.9044,0.1791,0.905,0.2564,0.5154,0.2823,0.5071,59,0.0552,139,3.6,7,0.8,7,0.8,2,1.2,2,1.2,1207.61,1718.94,16.50727572796544,18.314676616915424,64.0,0.6139087504256047,0.38131139352959115,10.0,0.7865168539325843,908.0269935897381,0.12211365751442467,0.002636874361593464,64.0,0.6174497786857339,0.3835480347408393,10.0,0.7865168539325843,912.3783368390141,0.12179021738778445,0.002353251617296562,5.0,-0.0024685052774940366,0.6326663154196425,4.0,0.0,25.681025195574293,0.21464527890570856,0.0021784133469526755,6.0,-0.006350017024174332,0.6749363814469164,5.0,0.0,24.862097570965407,0.2163274830858483,0.0025885257065032374,64.0,139.0,0.5181155312842474,912.3783368390141
6,0.3024,0.0667,6,0.322,0.0727,5,0.3055,0.0633,5,0.3115,0.0765,0.2206,0.378,0.2258,0.4025,0.2072,0.2546,0.2456,0.2596,1,0.0075,22,1.2,8,0.8,8,0.8,6,1.2,6,1.2,56.8535,279.910000000001,40.40857954045377,0.0,4.340000000000003,0.00547737167156019,0.528120786019496,3.0,0.0,17.13942152808973,0.21414742669976328,0.0010762377240052666,4.340000000000003,0.004950896021059033,0.5207081968233908,3.0,0.0,21.74732234709089,0.21637859024356507,0.0017735142249670948,3.3400000000000034,0.0027437481016503065,0.567548177182442,3.0,0.0,14.0,0.22899852735845663,0.0008383112281057002,4.170000000000002,0.003634706894806127,0.5620350547220934,4.0,0.0,16.043052331181592,0.22957455950185124,0.0017708818467145893,4.340000000000003,16.190000000000012,0.5446030536868556,21.74732234709089
64,0.7034,0.1347,64,0.704,0.1324,17,0.6267,0.1391,17,0.6006,0.1492,0.1915,0.8792,0.1881,0.88,0.222,0.5223,0.2484,0.5005,47,0.046,162,3.6,4,0.8,4,0.8,2,1.2,2,1.2,1341.3204347826088,1962.4,14.80405990449194,22.512437810945272,64.0,0.47347633639768477,0.3290709057732322,17.0,0.8426966292134831,691.1959984104044,0.1272695274792668,0.002581205311542391,64.0,0.47041198501872666,0.32689709171819015,17.0,0.8426966292134831,689.5965632022849,0.12784335450413886,0.0023762342526387485,9.960000000000036,-0.005141300646918629,1.2200259781159086,11.0,0.0,39.42828029038091,0.21676906314844385,0.0027131426625808695,8.200000000000045,-0.004954034729315627,1.2343933132724967,12.0,0.0,35.727558748586034,0.2048728995899443,0.0023391215526047016,64.0,146.16000000000008,0.777596822219957,691.1959984104044
58,0.6994,0.1579,58,0.7007,0.1694,64,1.1118,0.2228,64,1.1205,0.2561,0.2258,0.8742,0.2418,0.8759,0.2004,0.9265,0.2286,0.9338,6,0.2081,244,4.8,3,0.8,3,0.8,8,1.2,8,1.2,1567.7834666666668,2611.0800000000004,35.61452817409651,17.50465549348231,50.43999999999997,0.49493844049247615,0.9791715318164413,43.0,0.03529411764705882,698.5589286565294,0.13431277237760597,0.004338284150869651,53.79999999999998,0.5040453390658589,0.991544452049743,44.0,0.03529411764705882,721.3419496359501,0.15948733934889722,0.004534297439906196,64.0,0.6693765878444401,0.48085815725897024,44.0,0.6235294117647059,778.9465820307731,0.127835333806065,0.00457846394371702,64.0,0.6725620480750439,0.4929694843673436,64.0,0.611764705882353,753.9154457913729,0.16317327444674878,0.004867891342583547,64.0,232.23999999999995,0.7361359063731245,778.9465820307731
64,0.6804,0.1757,64,0.6894,0.1745,64,1.0867,0.2683,64,1.0916,0.2745,0.2582,0.8505,0.2531,0.8618,0.2469,0.9056,0.2515,0.9097,0,0.2022,256,4.8,4,0.8,4,0.8,5,1.2,5,1.2,2508.2381690140846,3405.3,30.47687643423316,13.361266294227187,64.0,0.7980932924753152,0.5028825070141418,4.0,0.6629213483146067,1104.9527345118715,0.11675588733925676,0.004348655090228129,64.0,0.7953013278855978,0.5004384495448989,5.0,0.651685393258427,1098.699829163392,0.11713144279634623,0.003991487912836227,64.0,0.8342696629213483,0.7205092537716989,8.0,0.34831460674157305,1139.9959154490662,0.11546839262755602,0.006378958120531159,64.0,0.8371807967313587,0.7239894456129335,8.0,0.34831460674157305,1142.8101870046814,0.11469573967340911,0.006232039496084442,64.0,256.0,0.6119549139859184,1142.8101870046814
5,0.3046,0.0793,4,0.3052,0.0855,25,0.9085,0.237,24,0.9318,0.2332,0.2603,0.3808,0.2801,0.3815,0.2609,0.7571,0.2503,0.7765,21,0.3077,58,2.4,2,0.8,2,0.8,6,1.2,6,1.2,139.4029,496.1900000000001,17.035468444378818,0.4189944134078212,4.1200000000000045,-0.0007660878447395312,0.661410985332528,4.0,0.0,17.393390396610084,0.22162269624189818,0.0012637044603336762,4.0,-0.0011065713312904295,0.6072102967530205,4.0,0.0,12.942038638582412,0.2615310375005577,0.0009633980251957792,18.840000000000032,-0.050732039496084444,0.8334034905388205,15.0,0.0,191.42427853419125,0.16796632263828473,0.003601804562478721,19.600000000000023,-0.0550221314266258,0.8020259336338574,15.0,0.0,201.11754077310817,0.1545127375743486,0.003643003064351381,19.600000000000023,46.56000000000006,0.7260126765645566,201.11754077310817
2,0.1585,0.0373,2,0.1421,0.038,4,0.449,0.0683,5,0.4677,0.0749,0.2353,0.1981,0.2674,0.1776,0.1521,0.3742,0.1601,0.3898,3,0.1543,13,1.2,2,0.8,2,0.8,5,1.2,5,1.2,52.7508,243.1600000000006,16.01786897400123,0.0,1.1400000000000006,0.0009841802143325778,0.2947084383803554,1.0,0.0,4.754547328576458,0.224529327930918,0.0004570970328789099,2.0,3.645111904936182e-05,0.4111721050849631,2.0,0.0,6.987674857661418,0.2688350904159815,0.0003650579572792887,4.0,0.0015673981191222672,0.3579000529710308,3.0,0.0,15.355676575755474,0.24716251124503255,0.0009276809798060781,5.0,-0.005394765619304528,0.38481400354575557,4.0,0.0,15.016157491902671,0.23464348401962695,0.0008578770868265653,5.0,12.14,0.3621486499955262,15.355676575755474
64,0.7571,0.1007,64,0.7567,0.1038,3,0.623,0.0907,3,0.5823,0.089,0.133,0.9464,0.1372,0.9459,0.1456,0.5192,0.1528,0.4853,61,0.0785,134,3.6,3,0.8,3,0.8,6,1.2,6,1.2,87.68069999999997,386.46000000000026,17.644009135243223,17.319651741293534,64.0,0.4356181552326105,0.29841293292083154,4.0,0.8387096774193549,704.2545506135567,0.12786578510848978,0.0014131180806302487,64.0,0.43575243949747866,0.2984466550170183,4.0,0.8387096774193549,706.1881037916568,0.12847097112267325,0.0013986452209722273,2.0799999999999983,0.003640595625317077,0.37039749271131156,2.0,0.0,10.287966550709466,0.23759892235120242,0.0008494225776610727,3.0,0.004043448419921822,0.40637653905973015,2.0,0.0,10.913647065531103,0.24212948129940662,0.0010165318850526737,64.0,133.07999999999998,0.3434084049272229,706.1881037916568
