mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
15.208137845993042,0.8537914282888134,0.2892465591430664,0.025269741394500132,1500,10,1,log2,,True,"{'n_estimators': 1500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.8712024628270942,0.8702341853556632,0.9257292727438309,0.8701974104460685,0.7685375279174782,0.8611801718580269,0.05101564067989087,38,0.9706576972233225,0.9657706215248762,0.9666879468685267,0.9714933096935524,0.9749574026157658,0.9699133955852087,0.0033483792133347473
9.235007619857788,0.4907891679068851,0.080924654006958,0.01843388373812347,400,20,2,0.4,50,True,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.4, 'max_depth': 50, 'bootstrap': True}",0.857994967077776,0.8832832113064683,0.9215264943542179,0.8716799154031736,0.7644437041217135,0.8597856584526697,0.05215138346696054,42,0.9583557960544542,0.9513048867590758,0.9521435097833831,0.9585793064244034,0.9637735453219985,0.956831408868663,0.004606321854925515
45.163150787353516,1.36141719959896,0.6813628196716308,0.07599398908698395,2000,2,1,log2,30,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",0.8714266748754985,0.8913452867055633,0.9341275997743653,0.8786306805726372,0.7768526804547451,0.870476584476562,0.05161352892480901,2,0.9999998749003525,0.9999996229898356,0.9999998445234962,0.9999999519177468,0.999999957355864,0.999999850337459,1.217337863178563e-07
9.819024753570556,0.746902242804342,0.17126312255859374,0.006160161838622103,1000,2,8,sqrt,50,True,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.8492550709348688,0.8540831992264174,0.917761689257997,0.8606970125452063,0.7504048876426175,0.8464403719214214,0.05399839199256762,85,0.9432434581552896,0.9347027907979883,0.9360389009011405,0.9438289150035002,0.9497194563255574,0.9415067042366954,0.005514496990479692
44.83256778717041,2.9754933843422053,0.24409871101379393,0.015292577437990968,1500,20,8,0.6,20,True,"{'n_estimators': 1500, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.6, 'max_depth': 20, 'bootstrap': True}",0.8433957955365758,0.8791357610974297,0.919569669910007,0.869468500572538,0.7519199641435539,0.852697938252021,0.056026366394394386,69,0.9490150008587819,0.9411508927438594,0.941392348054581,0.9496845846955636,0.9551580644883362,0.9472801781682245,0.005349515055581151
8.893314266204834,0.4340064092769272,0.017844772338867186,0.0014721700762249086,100,10,4,1.0,15,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 15, 'bootstrap': False}",0.8104306876944867,0.8615300016603672,0.882025709667051,0.8103113164224488,0.6129752694155679,0.7954545969719844,0.09550311727854315,94,0.9674729153631091,0.9538627780305541,0.960447146033578,0.9697448756549809,0.9730411582379631,0.964913774664037,0.006899542007637285
68.81061744689941,2.9828798615002454,0.36882686614990234,0.02647287726817018,1500,2,2,0.4,,False,"{'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.4, 'max_depth': None, 'bootstrap': False}",0.8647486707203403,0.9048148167905418,0.9290046937640716,0.8787784723321024,0.7716238373428316,0.8697940981899774,0.05380691552470288,5,0.9980160524972204,0.9977759995542081,0.9978737698088141,0.9982012117806589,0.9985835418670103,0.9980901151015823,0.00028522677893652354
152.46136260032654,6.894951289000977,0.37707204818725587,0.039613521313068514,2000,20,2,0.8,30,False,"{'n_estimators': 2000, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 30, 'bootstrap': False}",0.8536221054401021,0.8852806187325633,0.904378687318876,0.8527864551030723,0.735842424955731,0.846382058310069,0.05863301476500493,86,0.9757566628572355,0.9703977642805841,0.9715196251174438,0.9760620254415997,0.9770004718927296,0.9741473099179185,0.0026593422333923587
24.398340940475464,0.809461066272078,0.36442718505859373,0.032088028304306945,1500,5,2,log2,50,False,"{'n_estimators': 1500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': False}",0.8699455461754212,0.8883866306045747,0.9326562441129026,0.877170289961632,0.7773830591775638,0.8691083540064188,0.05077245650762807,9,0.995113529508786,0.9944807827045697,0.9945015600387325,0.9955069762945609,0.9961045953224135,0.9951414887738125,0.0006177343066718926
57.347849178314206,4.095297314953794,0.10346660614013672,0.007884717295555805,600,10,4,1.0,30,False,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 30, 'bootstrap': False}",0.8104346705251577,0.8606767672720936,0.881905363317313,0.8061336302510146,0.6108484156425207,0.7939997694016199,0.09605724379195307,95,0.9703865309068439,0.9668220511698308,0.9655193191213562,0.9722660250871884,0.9750198280197591,0.9700027508609956,0.0034830667881310447
