mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14.537392330169677,0.9122828181297346,0.2977620601654053,0.023433225694602728,1500,10,1,log2,,True,"{'n_estimators': 1500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.22001014885111203,0.6904181065813875,0.9068795710440519,0.843763534307449,0.7271554787157619,0.6776453678999526,0.24173868235844967,10,0.9568032901042924,0.9472360908545521,0.9381285146320244,0.9477042895129546,0.9541669438441661,0.948807825789598,0.006486654388057651
8.587661981582642,0.5534191967724411,0.07015023231506348,0.0060727465538715966,400,20,2,0.4,50,True,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.4, 'max_depth': 50, 'bootstrap': True}",0.15422868188613204,0.6824875122209408,0.8990579383988113,0.8440770229470201,0.7201832142749136,0.6600068739455637,0.2649397598569375,44,0.938072410153839,0.9250846043160454,0.9130070846033995,0.9242646364304257,0.9338227423621447,0.9268502955731709,0.008671662570214143
41.356777143478396,2.5660275272795783,0.6792932033538819,0.11513851998743031,2000,2,1,log2,30,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",0.21310440980771073,0.7027088526111065,0.9145044287365003,0.8464346985548098,0.7348809142343957,0.6823266607889046,0.2466515226399593,1,0.9999993883155344,0.9999995785178434,0.9999986063160872,0.9999996219703987,0.9999996438711939,0.9999993677982115,3.9127957826336096e-07
9.065226888656616,0.4580644085223232,0.16436471939086914,0.006007066108126303,1000,2,8,sqrt,50,True,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.16460777037555385,0.6815874400574597,0.8982667591563853,0.8350654505971353,0.7144694592573261,0.658799375888772,0.2593291937876191,49,0.9193947475760965,0.9028930202860761,0.8870331987264286,0.9025489106696023,0.9149324974142654,0.9053604749344938,0.011300147806081273
42.43610558509827,2.7003875168083398,0.2389516830444336,0.014867019429571573,1500,20,8,0.6,20,True,"{'n_estimators': 1500, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.6, 'max_depth': 20, 'bootstrap': True}",0.06550610120767508,0.673419770675898,0.8956407966232028,0.8378598361295588,0.7109551556519738,0.6366763320576617,0.2968636901824265,77,0.9231014129431829,0.9094375224167485,0.8954099396918777,0.9097590075753044,0.919728065869031,0.9114871896992289,0.009679544811897022
8.303252267837525,0.3872070487609017,0.01732335090637207,0.0006603290757664236,100,10,4,1.0,15,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 15, 'bootstrap': False}",-0.3120199461230704,0.4842554236758525,0.8229351499639755,0.7227167032890008,0.5486231898687157,0.4533021041348949,0.401241790643344,98,0.9538263199431775,0.9459711241285236,0.929371144443559,0.9441850277269823,0.9493998296341926,0.9445506891752871,0.008271897138457614
64.74282569885254,3.684308638877424,0.363158130645752,0.023764798910936375,1500,2,2,0.4,,False,"{'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.4, 'max_depth': None, 'bootstrap': False}",0.12920911352674214,0.6866198213703445,0.9083902455023674,0.8433683463091471,0.728704923367653,0.6592584900152508,0.27658158357034596,46,0.9973642445429622,0.9970646144423412,0.9965643253800996,0.9968773830054797,0.9973175842010947,0.9970376303143954,0.00029511893771318946
139.5187045097351,8.123603232142983,0.3641520977020264,0.031965903272348994,2000,20,2,0.8,30,False,"{'n_estimators': 2000, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 30, 'bootstrap': False}",0.04562405406115033,0.628975231644936,0.8831574821465058,0.8167974057007428,0.6918944315465742,0.6132897210199818,0.2976283022240716,85,0.9622813463657285,0.9556510968064719,0.9480476834874777,0.9583547085430506,0.9602727979243365,0.956921526625413,0.004947156381968204
22.98328948020935,0.7952126548662968,0.3459787368774414,0.03241928006960329,1500,5,2,log2,50,False,"{'n_estimators': 1500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': False}",0.20685306124845626,0.701901825693461,0.91253165883227,0.8458615322513796,0.7342449695952831,0.68027860952417,0.24854410653595668,4,0.9929794604028154,0.9917712679231386,0.9904116708447551,0.9916518156952511,0.9926919922119499,0.9919012414155819,0.0009039656841452678
53.77702102661133,2.6648418393656055,0.09979729652404785,0.008876675858788007,600,10,4,1.0,30,False,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 30, 'bootstrap': False}",-0.32292491962124714,0.4840120898271676,0.8230096940223368,0.7219210119479987,0.5381795879816029,0.4488394928315718,0.40482488264718836,99,0.9568873339849402,0.9488491484510803,0.9332434208663933,0.9459454135187099,0.9521677700133737,0.9474186173668995,0.0079669817351537
7.571547937393189,0.5817891329759693,0.03367185592651367,0.0038666462247582477,200,20,8,0.8,15,True,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.8, 'max_depth': 15, 'bootstrap': True}",0.04423893181713545,0.667475765469101,0.8974887757225314,0.8385980231797308,0.7056768119976329,0.6306956616372263,0.30506012605937644,83,0.9229987130990203,0.9098070904916788,0.896736622558953,0.9111482595354867,0.9195032547895463,0.912038788094937,0.009118859627478661
32.68626780509949,1.6770796220567588,0.13049302101135254,0.0074616643061233695,800,20,2,0.8,15,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 15, 'bootstrap': True}",0.12110523966773434,0.6734124685454417,0.897970925964382,0.8417112856000832,0.7089146252941504,0.6486229090143583,0.2763990085061892,64,0.9380387441190119,0.9269313582525048,0.9162648277377545,0.9275416043885409,0.9345788792238452,0.9286710827443313,0.007494967175724126
5.524790716171265,0.29813749907975523,0.021861743927001954,0.0023601730621988517,100,10,1,0.6,15,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.6, 'max_depth': 15, 'bootstrap': False}",0.08424627992122946,0.6580799422029953,0.9021180664015183,0.8392497986653544,0.7238991113994,0.6415186397180994,0.2914182472853589,73,0.9844833592167914,0.9823307506335375,0.9789416394591705,0.9852604136642567,0.9865025531437718,0.9835037432235054,0.0026543210748618084
3.589812660217285,0.10116442902340544,0.021172142028808592,0.006069190798499538,100,20,8,0.8,15,True,"{'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.8, 'max_depth': 15, 'bootstrap': True}",0.057979716606679665,0.6689061792265568,0.898237930433071,0.8394199570484311,0.7072983524350512,0.6343684271499579,0.3001362426095583,79,0.9230095659118887,0.9097417913075092,0.8965780833622636,0.9104599115693697,0.9192792250412216,0.9118137154384506,0.009157849537242925
31.56872911453247,1.9902836864064255,0.05987958908081055,0.00698024035883495,400,5,8,1.0,,False,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': 1.0, 'max_depth': None, 'bootstrap': False}",-0.3037479329632007,0.5107543203119187,0.8575424207742105,0.7593364468911821,0.5757887329741267,0.4799347975976474,0.4110837483520362,92,0.9279662084178071,0.91621691547652,0.8929044772424499,0.9149917580189316,0.9239529753015097,0.9152064668914436,0.012147084108820523
